"Iron_effect_in_EXP_G_D.LogFC" "Iron_effect_in_EXP_G.LogFC" "Iron_effect_in_EXP_G_L.LogFC" "Iron_effect_in_EXP_L.LogFC" "Iron_effect_in_STAT_G_D.LogFC" "Iron_effect_in_STAT_G.LogFC" "Iron_effect_in_STAT_G_L.LogFC" "Iron_effect_in_STAT_L.LogFC" "Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH"
"Rv0013" -0.000105385189047006 -0.000177384068527853 0.000235319905405308 -0.000265903151221099 -0.0774812409204261 -0.61623887692411 -0.646292778799825 -0.0444756985071544 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.534043626097713 1.50541212804343e-05 3.523257448674e-09 0.494687383139673
"Rv0014c" 0.000126109306834933 -0.000140688998736622 9.45369299490007e-05 -0.000611454547021578 -0.268111401306703 -0.702992503787028 -0.846758359037026 -0.0106326042596051 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0339563454713697 1.39221063684195e-06 1.0169985236915e-11 0.920845639455304
"Rv0015c" 4.58537798049862e-05 -0.000422039394496455 -0.000102796355149806 -0.00104307948313444 -0.291978611814228 -1.06025709505202 -0.606082666657759 -0.00197931965395892 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.062265499533459 8.82115413237908e-10 9.22948412211416e-05 0.99375102884922
"Rv0016c" 0.000207467240239132 -5.06290702765094e-05 0.000215856496132369 -0.00111412779637244 -0.105191812446172 -0.416713574183143 -0.594281411696278 -0.00223002415580556 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.353761247632815 0.00140752016697389 7.45791886166647e-09 0.993657187978439
"Rv0017c" 8.85742285743728e-05 0.000110772304351914 0.000117198387371586 -0.00104887139541989 -0.183390764284453 -0.67997807928624 -1.05488711566132 -0.0400714586741391 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.166763630455065 8.90026163714961e-06 6.93464803133723e-17 0.546264034924808
"Rv0018c" 1.16224136430232e-06 -0.000171256982535674 -4.71807447933475e-05 -0.00054260074051135 -0.258542477136841 -1.33402721576693 -1.38426771473347 -0.143315868851479 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0406814326552231 4.96435311462653e-23 2.888847916488e-30 0.155893004509827
"Rv0019c" 2.04354299078749e-05 -6.83135941958585e-05 -8.85763270024702e-05 -1.7097940767173e-05 -0.296894015329648 -1.2491793110031 -1.45282956456986 0.000522704484713462 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0427111887063602 6.44445050384558e-15 1.38582710329746e-23 0.998772223304764
"Rv0020c" -3.96583974590524e-05 -0.000289892131606325 3.35262965083088e-05 -0.000587905397043517 -0.14961104227459 -0.971519746099343 -0.612810349753258 -0.00943967650302374 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.343631140326641 6.20228040407258e-11 2.30232217159112e-05 0.942030525123758
"Rv0021c" -4.18401776476936e-06 0.000146433382282475 0.000124633109007942 -0.000158589396240734 0.150167217324534 0.295604122732945 0.55282941280597 -0.000103592729911649 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.270825766910705 0.0578692326258867 5.53833006400469e-06 0.999854649905164
"Rv0022c" -0.000247358238405262 -2.39834347328864e-05 -0.000566179911274893 2.15714386788252e-05 0.366501314966785 0.198410840462321 2.49400670327493 -0.0157365996224182 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0999558406758974 0.566902711288688 3.53020795851793e-18 0.912631355140891
