"Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH" "Phase_effects_with_Fe_G_D.BH" "Phase_effects_with_Fe_G.BH" "Phase_effects_with_Fe_G_L.BH" "Phase_effects_with_Fe_L.BH" "Phase_effects_without_Fe_G_D.BH" "Phase_effects_without_Fe_G.BH" "Phase_effects_without_Fe_G_L.BH" "Phase_effects_without_Fe_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_L.BH"
"Rv0214" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.00463519193934774 0.034843451531516 1.26204056974535e-07 0.958783974173263 0.100801079750304 0.000160602353979498 0.00108049917085484 2.82158205122815e-05 0.0733585113602759 2.77344421786439e-08 4.69932300128584e-19 0.000681960873833065 0.037439522112324 0.120786341350283 8.64131406644869e-05 0.998498138481726
"Rv0215c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0236046582350978 0.00270077973046225 1.79571840777495e-09 0.457876917263736 1.62862560908458e-07 6.12621905134018e-11 1.64049026875012e-08 0.00039840475918165 1.08244561809153e-15 1.46216265479139e-18 1.15426692602915e-35 1.62942937000227e-08 0.0858479664735493 0.010444434270238 4.53795250825551e-07 0.810311710002995
"Rv0216" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.180311367189838 0.437501847080772 0.00644979059969295 0.796748705759918 0.0135708478446079 6.89825718788686e-05 0.345319132663687 0.650832486929324 3.29303783656905e-06 2.37555054002373e-06 0.00121286406511316 0.0923565089014517 0.181989506810849 0.4335340086985 0.00645734336211634 0.998498138481726
"Rv0217c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.411966966714344 6.18556622399817e-05 0.00251732753426843 0.951719760597452 0.243189630240208 0.295449830835506 0.00838914269022284 0.000104978192822971 0.181252106202272 3.28912044343746e-06 2.21681130744957e-07 4.18578015392371e-05 0.925715540274347 0.00465591641704392 0.105474320403769 0.998498138481726
"Rv0218" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 1.22660895263406e-05 0.296950361375816 0.00319312051765109 0.623967017683175 0.629380571586347 0.630118836810929 0.00236011150921553 0.0365263571142582 2.28363943635469e-06 0.344043704878599 0.61518730247527 0.521156584688085 0.000657477129850578 0.794900141506574 0.0272558280709624 0.569771772474536
"Rv0219" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.662346410253506 0.567156397700164 0.0233756845192724 0.914398576739442 1.10337723579819e-05 0.0209844010328779 0.337917375568751 0.0798904624156519 0.0109245270417714 0.00461265232389373 3.08547653973996e-05 0.25079314947757 0.469309186678338 0.494548041500177 0.0267078786708239 0.998498138481726
"Rv0220" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.614794922937724 0.000114029793399439 7.12723585515799e-10 0.964049559558542 1.25288027548531e-23 2.39902989757119e-19 4.83925748008949e-37 2.66869440824898e-12 2.83295494372622e-29 2.37711443627929e-38 2.80360414912611e-84 2.81386150627882e-13 0.553915513787586 0.00850065144085544 5.48139821465142e-06 0.998498138481726
"Rv0221" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.689998084827542 0.000701636243352245 6.17639845803871e-09 0.99375102884922 2.9263164054148e-64 4.75105926243456e-30 1.60019961440669e-44 1.05789011696831e-25 3.69977110981207e-74 6.01653430208197e-49 7.74358427178272e-98 3.0226322438339e-24 0.490378889961604 0.00422966860637779 4.53780326442484e-07 0.998498138481726
"Rv0222" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.42477862944904 0.969294972114502 2.5316404413298e-07 0.998670883741985 1.44276253582471e-41 6.9614891770006e-19 5.49772999803376e-29 6.29651685776874e-07 7.9554538082541e-40 2.07718061351646e-19 8.68973046567225e-65 1.6456673769191e-09 0.943944870854375 0.75719077455581 8.45265544761178e-06 0.998498138481726
"Rv0223c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0158810982151676 0.012783992440107 0.0108516905642384 0.998670883741985 0.000141592178924506 0.000317448811587459 0.171283393952108 2.7456156331782e-63 1.75234315064651e-08 0.833450575387531 3.94861217987671e-05 1.07661456148627e-65 0.320793839543122 0.0784930127750391 0.0914634875755354 0.998498138481726
"Rv0224c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.309804925709505 0.419846051866611 0.603277177181733 0.987006062207018 0.347390007080411 0.803314210421303 0.146507822439485 7.55787337474284e-09 0.84113775197108 0.227410388634489 0.00392046588152261 1.90889615323252e-09 0.549450882653029 0.605689123400346 0.42509155200186 0.998498138481726
"Rv0225" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 9.19152673859238e-10 0.0176343284384177 0.320376834141219 0.498396492181206 1.86157898463751e-09 7.79386661857301e-45 4.49026804286685e-89 2.09841825364228e-55 1.70042217120057e-31 2.70283401630708e-44 1.85922401732721e-97 8.346787635423e-52 7.7490501450292e-05 0.0427704292808246 0.455638304143457 0.998498138481726
"Rv0226c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 3.03929645983876e-10 0.718123103655616 0.965808112202421 0.893998025477346 1.97343317877899e-10 2.94160433475168e-34 2.31729462567439e-86 5.19586318194688e-20 9.40639949260007e-39 3.953024110722e-26 1.17330832970002e-75 5.37516343424351e-22 5.93123327020093e-07 0.837020777609206 0.550250363420244 0.998498138481726
"Rv0227c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 9.67573027979509e-06 0.466324793437307 0.359319679883341 0.929137660038 1.36587618142714e-08 5.23907541032945e-25 1.93755470148708e-65 8.54424936860836e-15 0.853705629368135 2.84814623596514e-18 2.16268536279688e-45 8.99736709078338e-22 0.000720527706728109 0.720668300601621 0.0721194041688405 0.924283978116462
"Rv0228" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.81094730238997 0.00495566343008319 0.289620371051215 0.958783974173263 8.21587148037052e-07 0.04005579977562 5.72877868916168e-05 2.47884042741054e-22 1.69321581923535e-07 0.208207955343437 0.0234765984823294 4.20743589945883e-24 0.888729053031295 0.0455263600918612 0.314839883339966 0.998498138481726
"Rv0229c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.467917067823526 0.499160546026978 0.526018655524159 0.99375102884922 0.000141592178924506 9.69895535628255e-14 0.0212344269699854 4.39115316570471e-13 0.00631983166654021 1.39880691738798e-07 0.0092809713875499 5.17883018369407e-11 0.606880563473037 0.276633695113477 0.890303995616802 0.998498138481726
"Rv0230c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0394116182307102 0.811029291274352 0.707070261035397 0.993657187978439 1.06154163846328e-40 2.16804735127391e-09 1.56008594465488e-06 2.13199801539699e-64 4.7131937462885e-61 1.85923034598875e-06 1.27276831094913e-08 2.78413481380511e-63 0.0627601354036482 0.684670520049339 0.653995066005545 0.998498138481726
"Rv0231" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0239178051767379 0.93232026507404 0.110535889174918 0.834887303568298 7.47909993334676e-23 0.326103795961865 0.00642473083547601 5.3758037586845e-37 1.91022583096289e-14 0.934518232582817 0.814718826400686 3.34306935279269e-45 0.300003140479269 0.591950030147528 0.132831382771399 0.998498138481726
"Rv0232" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 7.8545489962125e-05 1.36728092196415e-21 3.33270408420938e-10 0.657970994983633 2.95994043353406e-06 1.73210545149783e-16 1.22267327350339e-20 0.0372411532296135 0.584369818714842 1.1477959084774e-67 2.82358285331285e-54 0.65116588152216 0.00103635926080548 3.68443194432992e-09 7.5922898954952e-05 0.979271861190712
"Rv0233" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 8.27951137415367e-14 5.57105586777055e-19 0.0235950562861443 0.938891746122759 0.000366787767263746 8.48970726844943e-17 1.11131793557119e-19 0.0496352802899327 8.27288264353818e-06 3.45386652037556e-65 3.52412581921235e-28 0.0934298184252673 1.11108833830916e-07 1.89295820546283e-08 0.283466297716258 0.998498138481726
"Rv0234c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.119487418965373 0.00867421948203578 4.35614615599436e-05 0.956938337182032 1.73830219879361e-06 0.0704381489641001 0.161139022733533 1.66095974078082e-10 0.0325788476949833 0.0556015310091291 0.0214453683185186 5.50253255585015e-10 0.142078723034763 0.0208450580353058 0.0175955055220505 0.998498138481726
"Rv0235c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.839997214546559 0.000368978708708924 9.65484443947968e-05 0.998670883741985 9.7510903386288e-05 2.93650157624617e-11 1.1158623700708e-46 1.74435677248288e-16 1.4255010469616e-06 2.66605772456361e-21 8.04598268594551e-66 1.19628249040758e-15 0.61868126856785 0.00131031745403879 0.00816665381994748 0.998498138481726
"Rv0236A" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 1.32659284962109e-09 0.90434354407509 0.161847411788899 0.901796212592256 0.0361398867064281 8.42948396444619e-14 5.56493371615729e-14 0.0679406664023799 0.00295991201662062 3.01380434965499e-10 6.97066795407946e-19 0.000982857128180599 0.00132012344278346 0.802003363729497 0.403923791675481 0.998498138481726
"Rv0236c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.000584467574536421 0.253210589409933 0.288138239919315 0.990751463179821 5.78124627374288e-15 3.15998924937594e-16 3.34860083718178e-24 1.22100777951289e-45 4.79727118103367e-29 2.58052503348632e-20 3.84972775082701e-26 1.86505023131589e-45 0.052867719032101 0.555613860969638 0.836265844582729 0.999615955253652
"Rv0237" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 2.33483405288609e-05 0.25148726853212 0.00153083478525988 0.983915096651202 0.00219942065640176 3.11561637318305e-29 2.0303703163274e-53 5.7792224096408e-14 3.92899111366633e-14 1.97006087827287e-25 1.17458077562554e-75 2.71476889196483e-17 0.00588216633906913 0.864385354272876 0.0325982469611076 0.998498138481726
"Rv0238" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.102254815755416 0.647200900275023 5.75512031934354e-07 0.573089022387623 0.998484012054125 0.0036560466276647 0.854091858985016 5.78798126189151e-07 0.161557470218049 0.00444795310128142 0.000114215789347614 2.94140797226249e-05 0.456709341147957 0.999591683652663 0.0233154161193293 0.998498138481726
"Rv0239" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.977881165089706 0.443368115524803 0.00271531958505467 0.920845639455304 0.584941875734457 0.318853907052665 0.0123619482729035 1.97912994402706e-11 0.0883683127115998 0.61638392830525 0.611150977743741 1.51231235789868e-18 0.553271698531875 0.835670458281069 0.0583881278902947 0.828907952759595
"Rv0240" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.00132471557706522 0.66863883283954 2.78618839362428e-07 0.990751463179821 0.64280887895489 0.0188504440950166 5.17190307563026e-10 2.01663605352469e-13 0.0105767141040459 0.75360004663183 0.234973861155895 3.29150322778916e-12 0.0724286583144873 0.307870831310773 0.000886460136417798 0.998498138481726
"Rv0241c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.948450543806528 0.600882181830492 0.034100142726453 0.420638674907044 1.49082957767982e-08 3.0346605804043e-13 3.96732226863577e-36 6.84163134568386e-39 3.55796598594217e-08 3.98921788350144e-14 5.29765377993151e-24 8.19828925238511e-23 0.943944870854375 0.835627872545749 0.138584683465451 0.400278468514513
"Rv0242c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.359938484689957 0.496730793151512 0.0254131795839463 0.89966306650609 5.83594738273275e-15 1.12919231073315e-11 5.72136916394801e-23 1.3642460078553e-40 1.28482796135064e-18 8.58947915042772e-13 6.58482263258221e-14 2.52705008135218e-32 0.645436352283785 0.862812109453653 0.158445027744619 0.998498138481726
"Rv0243" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.528065241872317 0.541471543965277 0.00596992465443045 0.918118489213419 1.48250995143996e-09 2.60356338593055e-08 6.11501180292165e-28 1.34573532582255e-20 8.93819028000084e-12 4.3916308396277e-09 8.38747044641435e-15 2.1392085642612e-16 0.738287640486284 0.902811125320736 0.0509407737763318 0.998498138481726
"Rv0244c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 9.44852304470198e-11 7.84598109206835e-08 0.00414933405400972 0.992691360326083 0.0110884459662698 0.0116820742633753 4.84663148046418e-33 3.33749099431229e-25 1.08616118065014e-05 0.0101964026656856 1.53461769221405e-19 2.83418844951279e-21 6.18065425656198e-06 0.00109617978135453 0.0714943701642659 0.998498138481726
"Rv0245" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0344191335423556 0.754130311112491 0.308425492677057 0.946971738430252 8.11210912652834e-12 1.59690167897036e-44 1.64222509196621e-37 4.84732815304064e-27 1.1031476899425e-19 4.51206263656256e-34 6.51685907467059e-40 3.69407855743068e-32 0.224179362042568 0.456580471997781 0.860666685919229 0.998498138481726
"Rv0246" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.978971029769171 0.453718677098061 0.711018464631085 0.99375102884922 7.40405425818244e-11 4.69582390053454e-05 5.08549323373642e-07 7.64412134330561e-07 1.333855400081e-11 2.24244082249676e-05 4.33437720781013e-08 2.08620785974704e-06 0.895178011273422 0.898281239909985 0.831742909902132 0.998498138481726
"Rv0247c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.53713643574845 0.209547974697591 0.183046549244077 0.546264034924808 0.313360125306491 6.87342860835449e-30 2.71088792307777e-40 0.451837701201883 0.0914013683812527 1.22206268838707e-20 4.58841700391428e-49 0.0359621012263124 0.759976039173171 0.349259233933129 0.354833566369804 0.998498138481726
"Rv0248c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0195061549739276 0.478977766578637 0.577075018492888 0.990751463179821 3.60969534878139e-06 1.79893202578122e-33 3.79852136166526e-49 1.80126748753239e-06 2.00949889415376e-14 2.08560798127973e-36 3.66186483335321e-55 4.24462232478002e-07 0.0899300262468309 0.689754361075862 0.642707482654392 0.998498138481726
"Rv0249c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.947356588464119 0.0798931086388107 0.0217050009443218 0.727436182033651 0.683876931587789 1.70462817255285e-21 2.08839124532617e-24 0.000211430778717453 0.782918908083411 4.98079975839616e-13 1.12744371953394e-14 2.51373494694433e-05 0.949119512686916 0.249965860783049 0.136919047888472 0.998498138481726
"Rv0250c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0787385468731328 0.00160444253932326 0.043150109601965 0.392432678476621 9.11207151348178e-10 0.234126893392087 2.12385644336642e-07 9.20591694914954e-09 2.28939424037046e-16 0.000123562929540517 3.5012714903217e-13 0.000188865501273739 0.276853512204131 0.148990219753018 0.242294334216242 0.879615159326915
"Rv0251c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 1.54090884924929e-05 7.95912973491579e-32 0.000483748451186149 0.504776329771589 8.49220593671958e-61 1.16622529942102e-09 2.99168304373729e-41 9.15946628476444e-27 1.02854717358897e-102 6.81711910832405e-84 4.58812569523508e-66 3.30263091305954e-35 0.00270644385396159 4.02334627167659e-18 0.0251915259582831 0.986742674895175
"Rv0252" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0079394765950135 0.121850469450866 1.66800549368817e-149 0.394303512257052 0.00999053789791616 1.59649255753918e-78 0.000273172060713494 4.66150823836934e-14 3.22396190635765e-10 9.50844057240571e-94 3.7947539923903e-190 8.20980327076962e-07 0.0259070809663313 0.321907660836011 3.02733445065325e-69 0.68644969874401
"Rv0253" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.266893596461077 0.125535904644039 9.27018148772565e-22 0.958899004129108 0.149675741357799 2.13864773870601e-14 0.556749525309488 6.43075326661107e-05 0.803752219573764 4.31041326925026e-21 1.14993588308678e-17 3.63350836942043e-05 0.34649260539833 0.381145217398705 2.31873287135142e-09 0.998498138481726
"Rv0254c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.472256745736094 0.716378434471405 8.28817506987841e-08 0.867348825976212 0.00235119821447823 2.15473216690621e-07 0.563221105423659 0.00563318265604624 4.71426303969941e-06 0.000668312244242355 4.81080923253175e-11 0.338117251915882 0.373839481570235 0.532729408681927 0.000196250118815377 0.937386811522931
"Rv0255c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.426198664464139 0.557057590210002 0.391811413398462 0.998670883741985 0.741935015119695 9.83192449498282e-08 1.49572464359194e-19 0.613052032262844 0.149289469244182 0.000114834733250715 1.80887711305594e-12 0.422926743516996 0.567008085559704 0.565583971623024 0.240732496091577 0.998498138481726
"Rv0256c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.822795544272771 0.115760979102202 0.89013808046942 0.999854649905164 0.45975903522462 0.851949100369762 0.019460314445587 1.47509891556101e-07 0.806158086066697 0.0325753621128092 0.0208478975376296 2.32595272381219e-12 0.824741189462101 0.270222047629914 0.984839433703987 0.952347228893139
"Rv0257" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.501290359375127 0.06588588019035 0.699335494151601 0.978781474868558 0.386800463410576 0.668342811082791 2.14208283333182e-05 0.00010536243522497 0.0751419920091765 0.0474450456558838 8.88120614107845e-07 0.00111979469465516 0.665945374593855 0.152203792797216 0.74091794995421 0.998498138481726
"Rv0258c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 9.21094312658133e-08 6.30617386893535e-09 0.321911732947704 0.30478971068778 6.55442373744941e-06 0.0018954008612776 1.0527651638991e-17 3.67495045237542e-17 9.6604978634759e-29 6.54568207156312e-26 2.98078045139583e-21 2.19046924852207e-08 3.32130174528155e-05 2.59173669484776e-05 0.678314081316892 0.655417711085418
"Rv0259c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0930318241086406 0.845504221748913 0.0046167778788336 0.941588010255413 0.000486221709809285 1.21685813473502e-07 0.000341041665818885 0.000192785851424472 1.57095854560841e-05 2.43583945930622e-05 1.25149820931662e-17 0.00280471367103298 0.684171951206268 0.858286003940501 0.00264587280847983 0.998498138481726
"Rv0260c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.194249437112725 0.00963036463323699 0.0401584372464482 0.674748853759033 1.97466420472002e-05 3.20038314822978e-11 0.0472490418569972 4.58884558891391e-12 0.000774789693863668 0.349628603489968 1.08189844878206e-06 3.89304609402249e-06 0.754061525314217 0.00539025070480341 0.100461465364971 0.822347434572967
"Rv0261c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0372217312862844 0.439994587213574 8.25380967582738e-05 0.355910383851462 0.167881039197494 0.253184681852202 7.45813534569752e-05 1.30941306728451e-05 0.179568898850934 0.00880660852040594 0.0915584845168651 0.308965927807958 0.106062351773294 0.29038658645124 0.000287755637894927 0.422090775436441
"Rv0262c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.024307370442175 0.803714643475131 0.00903263229803175 0.507422496890412 1.08745870016161e-16 0.294919978529152 7.7240171750821e-09 3.19761467979961e-23 4.00463029459372e-08 0.0279085854300084 0.00455401689052129 1.5871023217598e-14 0.152850280413005 0.511262922002761 0.0910501810831314 0.830019784894271
"Rv0263c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 5.5687819216615e-06 0.000615910957168347 1.32325050052658e-05 0.911082048100047 9.71783076200377e-14 0.00030064932533094 9.16354568023292e-10 1.08514598089694e-11 0.0132488693332598 0.499812140949017 2.07298016302616e-31 2.69660972120573e-12 0.00319639928143214 0.0118710617712743 0.000104730273981387 0.998498138481726
"Rv0264c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.000610820320505889 3.76908629937682e-05 0.0151959980144406 0.999854649905164 7.40547113384136e-05 0.0225318590634139 1.08978678402314e-13 0.297505378350351 0.95934805046537 0.00108116853331386 3.69890070247424e-22 0.01883220857778 0.0215161306376041 0.000282031995780508 0.103670376871676 0.998498138481726
"Rv0265c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.885831773563426 1.27235608666922e-05 1.21127197882899e-14 0.975594277746999 1.90012965893964e-70 2.7955537910619e-18 5.92655169144599e-41 5.50811974578998e-106 1.1537044238061e-55 3.66086888620083e-30 1.03956827332938e-101 7.15222720113893e-96 0.642826232490638 0.000146474738211285 1.37055349201881e-11 0.998498138481726
"Rv0266c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0134676291529263 0.00469457240283678 0.952724856095957 0.928482166544197 3.38832795759695e-05 0.0289809036412703 1.20716291893152e-17 0.606446016446734 8.32781591298928e-14 9.15071727198202e-13 3.60418835846612e-20 0.539245227039924 0.0533617683536132 0.00216498791207189 0.745838231477634 0.998498138481726
"Rv0267" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.00433152346665974 0.236410849496151 1.33375823366367e-11 0.935813795984839 4.15484952776274e-13 2.11843310353508e-11 9.2927699076374e-10 7.88726921740767e-15 2.36313034457897e-27 1.9452377767212e-19 2.82309408940792e-38 1.81952525755916e-20 0.0402725603473263 0.200457306506002 1.23714641453509e-05 0.998498138481726
"Rv0268c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 4.98365717683342e-05 0.00179548700196183 3.11121292362306e-05 0.731659510205818 1.88009627852077e-42 2.67675612830782e-83 2.87234756202486e-92 1.18514518119666e-57 3.85897254894693e-80 2.3714018402486e-107 5.13323935419662e-141 4.25347545065668e-68 0.000973363910059387 0.156761711977024 0.00265678878530932 0.998498138481726
"Rv0269c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.282143520612494 0.767256886410479 1.91621114785422e-07 0.727095764721929 0.0039297971097907 7.52574044476475e-05 0.976512291010316 0.000281428693222448 6.50254924463028e-05 0.000177330115893371 7.9382739905801e-09 0.00825491070565078 0.551530464379577 0.999591683652663 0.000219210470734289 0.998498138481726
"Rv0270" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0250436988247776 0.815362921195 0.01003147288021 0.964049559558542 0.167068927813003 7.72369209171023e-07 0.00389559977065434 2.54345808879844e-05 4.90714384013475e-05 2.59121848300957e-05 6.09203579024436e-07 2.94635125166588e-07 0.139380050838634 0.754627586530884 0.234493928212659 0.998498138481726
"Rv0271c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.00157587483901857 0.0770549084267152 0.962153736391417 0.997373477821047 0.0122455252862552 0.923236850766227 0.74832477788198 0.00187313198329432 2.456908528481e-09 0.054351131742648 0.769829927178996 0.000333814931624499 0.0489455456901032 0.323892239879293 0.984839433703987 0.998498138481726
"Rv0272c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 9.70596109745583e-10 4.55056868284693e-11 0.372438300986551 0.993434606278659 4.34243061873129e-05 7.08272143453028e-11 1.48852407180228e-10 0.00269136363973454 9.39040173660157e-27 9.49807299440005e-44 5.75519877201144e-13 4.53396526362565e-05 3.29719535426982e-05 6.01322895226453e-06 0.698092002903896 0.998498138481726
"Rv0273c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 2.26673968984092e-16 5.08120355715722e-14 0.0599522861289755 0.791474531781548 0.212700671124077 0.283109080535377 1.24268877638715e-10 0.869421138355722 2.34795298083784e-24 2.34977339812684e-25 1.08173786671834e-16 0.858776232240506 6.43936848399151e-09 2.89156863907158e-08 0.325428968360594 0.998498138481726
"Rv0274" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 1.01604148939543e-10 3.44153480918363e-07 0.767333148849838 0.993657187978439 2.25326372116914e-07 0.000145362840713411 7.02940111924459e-18 0.837040177496413 1.46211188278849e-33 1.62703411967976e-20 7.21355238601879e-16 0.765364076036625 1.62873750539242e-05 0.00108010108531421 0.782681168382738 0.998498138481726
"Rv0275c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 2.19026781166383e-07 9.1336144406343e-11 0.441493729928696 0.993657187978439 3.8292335853131e-23 2.47698795520322e-75 2.42789793491325e-128 0.000506312775548752 9.86206017933036e-58 9.42657995218444e-143 8.60372224618415e-129 0.00156318668682463 0.000175273741517889 1.33377927164786e-05 0.975516654912704 0.998498138481726
"Rv0276" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 1.80559649878912e-16 0.00989559968414515 0.45127636043491 0.904768602363348 1.087934119209e-25 1.31042488686402e-67 1.32054040930844e-38 1.08962183016352e-10 1.83657036397438e-76 5.22431061492846e-87 1.28342273216875e-44 8.27762490688991e-11 3.48466938374107e-07 0.205180136951848 0.611097215670655 0.999615955253652
"Rv0277A" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.688096894837822 0.00570763625202141 0.00146995449254491 0.970952792696246 0.452027320394641 7.26864637585027e-05 3.72907013999433e-06 0.000286935221628642 0.683122443015516 1.06456892626513e-08 1.18405461944872e-20 9.25969555119251e-06 0.884146201952771 0.383122265987312 0.0034662023204112 0.998498138481726
"Rv0277c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.00398150533966393 0.00431374254489111 9.77828881173096e-06 0.951719760597452 3.01105495494258e-29 9.34093855639486e-41 2.40632631289015e-41 5.21607318129235e-12 1.45539731103826e-43 4.51884092685204e-54 5.6822334651121e-68 7.28876117235062e-12 0.160971632782997 0.284836883706681 0.0173630273509546 0.999615955253652
"Rv0278c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.910844344276347 0.942295828729056 0.947969226361029 0.993657187978439 0.975000094176887 0.618537779346841 0.0108426855442902 0.673044269559244 0.795450025675608 0.952142802066064 0.108396700173846 0.0632687826646559 0.914613107686733 0.84039899933932 0.6224981532985 0.998498138481726
"Rv0279c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.990378607965569 0.916674594199082 0.877142086477754 0.993434606278659 0.457566625644444 0.945830135003756 0.0536942909237881 0.1659854726836 0.423310888403707 0.723180588106915 0.617001809065758 0.01259074698432 0.98039809183627 0.90050031848138 0.416873542121574 0.998498138481726
"Rv0280" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.181404288752195 0.00967300806001334 5.20538381510848e-05 0.883949569991984 0.00769354318940881 0.16720386863041 0.263280876364764 5.22345167907467e-05 1.9733216522577e-07 0.916341104762607 0.00020018996532223 4.81347818691243e-06 0.168557358715699 0.428324886850974 0.124997849517077 0.998498138481726
"Rv0281" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 5.05421523141894e-05 0.157816013625454 0.493862117363219 0.918118489213419 0.00213278458157975 0.0534400697413148 0.473109790700911 9.55716968720673e-07 4.26195395915518e-19 0.516654874638422 0.914227522840038 0.00177090593715249 0.000322709481662269 0.13106178375818 0.647474201800805 0.938835744696313
"Rv0282" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 9.64551674740107e-11 1.26274900710789e-06 1.2657958751324e-07 1.04948173696673e-10 0.708877176052562 0.000136049380516416 5.18872696383777e-10 3.48135376175508e-09 4.57613774254805e-11 0.0294113448417583 0.67240611027745 0.0657449099243634 7.15808502131752e-06 9.98896062395109e-05 1.01406581139184e-05 1.3571193673508e-06
