"Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH" "Phase_effects_with_Fe_G_D.BH" "Phase_effects_with_Fe_G.BH" "Phase_effects_with_Fe_G_L.BH" "Phase_effects_with_Fe_L.BH" "Phase_effects_without_Fe_G_D.BH" "Phase_effects_without_Fe_G.BH" "Phase_effects_without_Fe_G_L.BH" "Phase_effects_without_Fe_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_L.BH"
"Rv0015c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.062265499533459 8.82115413237908e-10 9.22948412211416e-05 0.99375102884922 6.94396179255383e-37 2.19509671309431e-06 1.57941197497274e-17 5.63126296129537e-52 1.31575655351713e-50 3.28938066044082e-23 7.82168082426925e-35 1.0665484735381e-44 0.200847657397932 0.000416575238077997 0.0178424536506765 0.998498138481726
"Rv0016c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.353761247632815 0.00140752016697389 7.45791886166647e-09 0.993657187978439 2.64262741053384e-76 1.15680246514061e-19 2.33335214661199e-29 4.68309386384001e-58 1.04278587116545e-87 3.30509099059356e-33 4.32572686058709e-72 3.61966620012113e-49 0.392079961524293 0.0204745712679025 4.53711857546799e-06 0.998498138481726
"Rv0017c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.166763630455065 8.90026163714961e-06 6.93464803133723e-17 0.546264034924808 2.17085909327475e-26 5.42925642542722e-10 5.11341444290286e-09 9.2926533251926e-17 1.04465667913845e-35 4.11999001876802e-28 4.30722784404302e-50 8.23486431305411e-18 0.305016801602371 0.000433471807478008 4.2785450739386e-10 0.998498138481726
"Rv0018c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0406814326552231 4.96435311462653e-23 2.888847916488e-30 0.155893004509827 1.94623049290701e-37 0.332975882429401 0.363437532038738 6.31671916412077e-41 2.06789403569745e-51 6.15653201839816e-19 8.26437054073108e-26 8.82562454049482e-51 0.198291084929948 6.48996233325612e-12 3.14843959308412e-15 0.979271861190712
"Rv0019c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0427111887063602 6.44445050384558e-15 1.38582710329746e-23 0.998772223304764 1.41613945025359e-19 0.00551483165190112 0.000175430912231454 3.9415133113393e-27 4.94171741412158e-30 8.35107593379287e-08 8.88268438804372e-10 1.06153965245588e-26 0.184590777554791 3.64685531878444e-08 1.16567970754098e-11 0.999067478945734
"Rv0020c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.343631140326641 6.20228040407258e-11 2.30232217159112e-05 0.942030525123758 0.000160293165610611 0.00596360440098355 0.973766272949921 1.85881359319175e-13 1.44533132488018e-06 0.00230804974491391 4.08959784220022e-06 1.56086582935993e-12 0.625802769302655 0.00017480597298104 0.00353775164846413 0.998498138481726
"Rv0021c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.270825766910705 0.0578692326258867 5.53833006400469e-06 0.999854649905164 3.22812196534621e-06 5.55420822865567e-19 1.1329136213271e-12 0.73011770268906 2.57264625056942e-09 2.75513518618824e-27 3.13927658022838e-31 0.498849826043799 0.499533150251092 0.288139556980547 0.00622245232597687 0.998498138481726
"Rv0022c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0999558406758974 0.566902711288688 3.53020795851793e-18 0.912631355140891 0.0447534628924591 0.545221351334564 0.992850861738926 3.69973519320206e-08 0.197881903290149 0.717118295293765 1.00832252990337e-32 1.15681833688654e-05 0.0482550568837082 0.616188769448807 9.95840742959187e-13 0.998498138481726
"Rv0023" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.72167910299428 3.2132047879626e-05 0.000375279836492865 0.569073384957275 1.63853204743806e-54 1.27023802077534e-06 0.000283373071340129 6.25993360497253e-50 7.21606490270496e-48 3.84388363614651e-17 8.61278646781374e-15 2.04312502045602e-56 0.794309206433546 0.000986286358945776 0.00649598904351858 0.895476959969759
"Rv0024" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.314327274835484 0.215378635869095 2.20999605970162e-11 0.97558010820986 5.2462498101131e-55 0.0102330891874921 0.000462543188726806 2.40968652791317e-69 2.60199276266906e-44 2.20599891654837e-05 2.39905840112153e-25 1.2191729719992e-64 0.498163806963076 0.305432696482686 1.64818118500084e-06 0.998498138481726
