"G_D_with" "G_with" "G_L_with" "L_with" "G_D_without" "G_without" "G_L_without" "L_without" "G_D_with.BH" "G_with.BH" "G_L_with.BH" "L_with.BH" "G_D_without.BH" "G_without.BH" "G_L_without.BH" "L_without.BH"
"Rv0015c" -1.93542206842187 -0.753453389351966 -1.31122543263481 -2.36722171850814 -2.31016705527345 -1.68434314140511 -1.90829320862589 -2.19490290367219 6.94396179255383e-37 2.19509671309431e-06 1.57941197497274e-17 5.63126296129537e-52 1.31575655351713e-50 3.28938066044082e-23 7.82168082426925e-35 1.0665484735381e-44
"Rv0016c" -1.74424089405425 -0.955664789967175 -1.08753805927245 -1.55524277165982 -1.90631665277553 -1.38947513673933 -1.77100545033393 -1.43170856872414 2.64262741053384e-76 1.15680246514061e-19 2.33335214661199e-29 4.68309386384001e-58 1.04278587116545e-87 3.30509099059356e-33 4.32572686058709e-72 3.61966620012113e-49
"Rv0017c" -1.26700524401974 -0.806879746145413 -0.711352648777438 -1.00991260818243 -1.50456600876782 -1.57934315435827 -1.85158553464352 -1.05013890241456 2.17085909327475e-26 5.42925642542722e-10 5.11341444290286e-09 9.2926533251926e-17 1.04465667913845e-35 4.11999001876802e-28 4.30722784404302e-50 8.23486431305411e-18
"Rv0018c" -1.51386319740921 0.123608114209205 0.111286389976721 -1.61457626743484 -1.80151619806882 -1.17663427319206 -1.26764718236173 -1.81917582607774 1.94623049290701e-37 0.332975882429401 0.363437532038738 6.31671916412077e-41 2.06789403569745e-51 6.15653201839816e-19 8.26437054073108e-26 8.82562454049482e-51
"Rv0019c" -1.27271601238445 0.410246343361583 0.536774071914854 -1.56433189731513 -1.62365396121394 -0.848697482965683 -0.890239131564838 -1.55348045329115 1.41613945025359e-19 0.00551483165190112 0.000175430912231454 3.9415133113393e-27 4.94171741412158e-30 8.35107593379287e-08 8.88268438804372e-10 1.06153965245588e-26
"Rv0020c" -0.55439142855642 0.411250361592544 -0.00526810738975273 -1.07452571414892 -0.705403972842032 -0.457294199933889 -0.675924266528557 -1.03335027915529 0.000160293165610611 0.00596360440098355 0.973766272949921 1.85881359319175e-13 1.44533132488018e-06 0.00230804974491391 4.08959784220022e-06 1.56086582935993e-12
"Rv0021c" 0.572724597429348 1.18768471163756 0.860239451246704 0.0483769141336133 0.741137528121491 1.46397276868166 1.38564360120172 0.0936900222993534 3.22812196534621e-06 5.55420822865567e-19 1.1329136213271e-12 0.73011770268906 2.57264625056942e-09 2.75513518618824e-27 3.13927658022838e-31 0.498849826043799
"Rv0022c" -0.481889090507022 -0.288278161558085 0.00279543045134737 1.34016377759149 0.332413598568113 0.17845122978564 2.79232852017697 1.10279556610293 0.0447534628924591 0.545221351334564 0.992850861738926 3.69973519320206e-08 0.197881903290149 0.717118295293765 1.00832252990337e-32 1.15681833688654e-05
"Rv0023" -2.7522391544587 -0.973281227252911 -0.664820885039148 -3.0680613537156 -2.65556207564038 -2.20483845857638 -1.47165029376214 -3.48475214113411 1.63853204743806e-54 1.27023802077534e-06 0.000283373071340129 6.25993360497253e-50 7.21606490270496e-48 3.84388363614651e-17 8.61278646781374e-15 2.04312502045602e-56
"Rv0024" -2.34522283620579 -0.43812689828058 -0.539332543718673 -3.19951889081082 -2.14552816408311 -0.78490290746019 -1.67687737912468 -3.06979304263628 5.2462498101131e-55 0.0102330891874921 0.000462543188726806 2.40968652791317e-69 2.60199276266906e-44 2.20599891654837e-05 2.39905840112153e-25 1.2191729719992e-64
"Rv0025" -0.90917761174106 0.131950233987171 0.256328487720435 -1.20578521338297 -0.924287889122693 -0.117844247280996 -0.438759338419924 -0.825721871721667 1.03927878451079e-08 0.501274716879541 0.129556332394188 1.56160147212975e-11 1.97538323630987e-08 0.57889949045331 0.01156585544031 2.43787390855482e-06
"Rv0026" -0.804407058175189 0.633318563691797 0.687770942502979 -0.539056744768857 -0.639384641326886 0.396847221826735 0.340839653756194 -0.356749749317301 2.69546658026944e-12 6.91779451154281e-07 4.83190466860595e-09 8.8597849598659e-06 4.53052605948501e-08 0.00351297078525749 0.00434555788616217 0.00337910310366887
"Rv0027" 0.245750247867102 0.371197444601916 0.617456531147559 1.17754109543775 0.656960529730631 0.329581483182186 0.491335718574498 1.1712772829215 0.0642392153540016 0.0354984267792204 9.72948818921552e-06 5.22414568831045e-19 5.78391782106981e-07 0.0861311795831207 0.000474659682449219 5.5681898257913e-19
"Rv0028" 0.547792061069336 0.580908417195557 0.928147591911654 1.16220596502919 0.942752223404942 0.511781352564347 0.0371891902988775 1.26301599572946 3.04296882361394e-05 0.000441184783610544 9.26951737682913e-12 3.6454974822569e-18 7.96200124033153e-13 0.00425920664538423 0.808394007818497 3.91715875086547e-21
"Rv0029" 0.330958403588768 0.891479390407321 0.709718760907187 0.975582068465596 0.505037140686983 0.298119858903378 0.143928892758066 0.99127806247936 4.60079686897371e-05 1.09388898203217e-20 2.3266383266812e-19 1.39153536227813e-31 1.53792114570893e-09 0.0111491374847477 0.0847846829937815 8.8179061070417e-33
