"Iron_effect_in_STAT_G_D.LogFC" "Iron_effect_in_STAT_G.LogFC" "Iron_effect_in_STAT_G_L.LogFC" "Iron_effect_in_STAT_L.LogFC" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH" "Pattern_G_D_stat" "Pattern_G_stat" "Pattern_G_L_stat" "Pattern_L_stat"
"RVnc0004" 0.162693896347557 0.556761478903142 0.807169537733523 -0.78818860138746 0.247313453512686 3.97352427405655e-05 3.59965562992215e-10 3.55613660762625e-08 "Background" "UP" "UP" "DOWN"
"RVnc0005" 0.391984334749128 0.110381829737283 0.480793120514272 -0.00273715163216766 0.050755008174694 0.728490576958996 0.0276002301978972 0.99375102884922 "Background" "Background" "UP" "Background"
"RVnc0006" -0.136494086366094 0.0247130151814157 0.162498161736941 0.00117728120985432 0.616457989955812 0.949505389428284 0.61417784293148 0.997373477821047 "Background" "Background" "Background" "Background"
"RVnc0008" 0.16437361161198 0.226448829016106 0.66597075695113 0.0193476963334064 0.331845013468029 0.340637802381658 0.000112794894488098 0.832411488998313 "Background" "Background" "UP" "Background"
"RVnc0010" -0.442967078185664 -0.351255693939454 0.0363078599289553 0.015311860599242 0.0129438281339237 0.252454221302275 0.881470088960767 0.897295827206482 "DOWN" "Background" "Background" "Background"
"RVnc0013" 0.42283815852478 0.179419809543582 0.144043491474787 -0.0178747951172269 0.0505562719215648 0.506059499744358 0.547216948160896 0.886110275173272 "Background" "Background" "Background" "Background"
"RVnc0015" 0.232025965554415 0.0607525949936487 -0.257053458464615 0.0441318236194462 0.183514069805924 0.861295461638718 0.233337568643342 0.5532070534667 "Background" "Background" "Background" "Background"
"RVnc0021" 0.609421138660042 0.957445680964475 0.0106414135975086 0.00764867397383751 0.000456808711211831 1.84305995897309e-07 0.961248296518791 0.967742377084416 "UP" "UP" "Background" "Background"
"RVnc0024" 0.312425893346288 2.58758800080357 1.27844601690367 0.0169419210336831 0.109074040932037 3.57740546702497e-34 4.68666606462178e-10 0.885228794194877 "Background" "UP" "UP" "Background"
"RVnc0034" -0.488332619484354 -0.0342007842370874 0.019499938040253 -0.0526552521893558 0.0438042978129264 0.932268976889237 0.953667455063228 0.522075927276366 "DOWN" "Background" "Background" "Background"
"RVnc0036" 0.55934602086922 2.35866647911228 -0.0322555549902097 0.0134499708300845 0.00733379081728577 3.20408769078494e-23 0.901723141204255 0.928482166544197 "UP" "UP" "Background" "Background"
"RVnc0036a" 1.97893267365732 0.72246147805043 0.177156647251806 0.00617994144792751 2.33457503671571e-13 0.00362386801981003 0.485972617505426 0.984253168085069 "UP" "UP" "Background" "Background"
"RVnc0040" -1.26692521387204 -0.26044196872417 -0.213436494621381 -0.00138780624050565 8.22023445331877e-09 0.38827154029812 0.419267035733807 0.99375102884922 "DOWN" "Background" "Background" "Background"
"RVnc0046" 1.18830838447607 0.470011362159352 -0.248994031216824 0.00193184493020763 1.2665123479103e-07 0.0366522793996583 0.268946210961305 0.99375102884922 "UP" "UP" "Background" "Background"
