"LogFC" "BH" "Association" "RV"
"Rv3403c" 2.75863227508182 2.79418021175536e-22 "UP" "Rv3403c"
"Rv3523" -0.600599965430422 0.00750063560982889 "DOWN" "ltp3"
"Rv3660c" -0.606361882909365 0.0353868189269088 "DOWN" "Rv3660c"
"Rv3749c" -0.676989612633049 0.00106135309471436 "DOWN" "Rv3749c"
"Rv3839" 4.86950701267174 1.81686105271611e-79 "UP" "Rv3839"
"Rv3840" 2.82730350768847 1.42315326998826e-26 "UP" "Rv3840"
"Rv3841" -4.46781343369906 1.19250444803694e-51 "DOWN" "bfrB"
"Rv3842c" -2.35899255972596 1.3668118060109e-27 "DOWN" "glpQ1"
"Rv3846" -0.554523571959386 0.0232751809008779 "DOWN" "sodA"
"RVnc0004" -0.581388774031068 0.00654302629798137 "DOWN" "B11"
