"Iron_effect_in_EXP_G_D.log2FoldChange_shrunken" "Iron_effect_in_EXP_G.log2FoldChange_shrunken" "Iron_effect_in_EXP_G_L.log2FoldChange_shrunken" "Iron_effect_in_EXP_L.log2FoldChange_shrunken" "Iron_effect_in_STAT_G_D.log2FoldChange_shrunken" "Iron_effect_in_STAT_G.log2FoldChange_shrunken" "Iron_effect_in_STAT_G_L.log2FoldChange_shrunken" "Iron_effect_in_STAT_L.log2FoldChange_shrunken" "Phase_effects_with_Fe_G_D.log2FoldChange_shrunken" "Phase_effects_with_Fe_G.log2FoldChange_shrunken" "Phase_effects_with_Fe_G_L.log2FoldChange_shrunken" "Phase_effects_with_Fe_L.log2FoldChange_shrunken" "Phase_effects_without_Fe_G_D.log2FoldChange_shrunken" "Phase_effects_without_Fe_G.log2FoldChange_shrunken" "Phase_effects_without_Fe_G_L.log2FoldChange_shrunken" "Phase_effects_without_Fe_L.log2FoldChange_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.log2FoldChange_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G.log2FoldChange_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.log2FoldChange_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_L.log2FoldChange_shrunken"
"Rv0011c" -0.000137021786485747 0.000126695381597526 0.000294751420977804 -9.05255310341729e-05 -0.120164752806175 -0.374984573955884 -0.0258240020640554 -0.00113881531324034 0.466427918447541 0.306921014555954 -0.396323700866842 1.05573513518899 0.457123873660114 -0.213819071624653 -0.594520690032856 1.07250983078294 -0.0108172355442039 -0.399197217944296 -0.150342896052636 0.000210629231666728
"Rv0012" -1.43318205566901e-05 0.00038540727155918 -6.06356042010611e-05 -4.12453065994814e-05 0.0612814331021463 -0.820949864595503 -1.11927781252877 -0.0359108781729476 0.541526704327014 1.49140568316135 0.94530626956454 -0.0770828984171152 0.618572590308234 0.474324293359012 -0.168830022173724 -0.284852339530791 0.0599442246667596 -0.92418106213068 -1.04639247952154 -0.00414486041336609
"Rv0013" -0.000105385189047006 -0.000177384068527853 0.000235319905405308 -0.000265903151221099 -0.0774812409204261 -0.61623887692411 -0.646292778799825 -0.0444756985071544 -0.247626651797417 0.307744972846442 -0.132941588445275 -0.0969515334477452 -0.305445379319704 -0.294127179402875 -0.88435489133523 -0.230217605551524 -0.0483228292784564 -0.550792645436291 -0.70277555062045 -0.00211597600638887
"Rv0014c" 0.000126109306834933 -0.000140688998736622 9.45369299490007e-05 -0.000611454547021578 -0.268111401306703 -0.702992503787028 -0.846758359037026 -0.0106326042596051 -1.70327696049888 -1.16918686042915 -1.38521421302553 -1.67297547451668 -2.04698962802418 -1.87085990547866 -2.31044507588673 -1.64584503651303 -0.283417654865388 -0.624629395930066 -0.855825882543629 0.000338581438473974
"Rv0015c" 4.58537798049862e-05 -0.000422039394496455 -0.000102796355149806 -0.00104307948313444 -0.291978611814228 -1.06025709505202 -0.606082666657759 -0.00197931965395892 -1.93542206842187 -0.753453389351966 -1.31122543263481 -2.36722171850814 -2.31016705527345 -1.68434314140511 -1.90829320862589 -2.19490290367219 -0.276135005820213 -0.801681597365709 -0.506724951674092 0.00284090812734696
"Rv0016c" 0.000207467240239132 -5.06290702765094e-05 0.000215856496132369 -0.00111412779637244 -0.105191812446172 -0.416713574183143 -0.594281411696278 -0.00223002415580556 -1.74424089405425 -0.955664789967175 -1.08753805927245 -1.55524277165982 -1.90631665277553 -1.38947513673933 -1.77100545033393 -1.43170856872414 -0.140303418365706 -0.387813535025136 -0.641978608441033 0.00191942420491584
"Rv0017c" 8.85742285743728e-05 0.000110772304351914 0.000117198387371586 -0.00104887139541989 -0.183390764284453 -0.67997807928624 -1.05488711566132 -0.0400714586741391 -1.26700524401974 -0.806879746145413 -0.711352648777438 -1.00991260818243 -1.50456600876782 -1.57934315435827 -1.85158553464352 -1.05013890241456 -0.1941034868319 -0.687769505866669 -1.07338230812111 -0.000488451892288747
"Rv0018c" 1.16224136430232e-06 -0.000171256982535674 -4.71807447933475e-05 -0.00054260074051135 -0.258542477136841 -1.33402721576693 -1.38426771473347 -0.143315868851479 -1.51386319740921 0.123608114209205 0.111286389976721 -1.61457626743484 -1.80151619806882 -1.17663427319206 -1.26764718236173 -1.81917582607774 -0.236158688345474 -1.2299189970026 -1.32953369683357 -0.00423455447834297
"Rv0019c" 2.04354299078749e-05 -6.83135941958585e-05 -8.85763270024702e-05 -1.7097940767173e-05 -0.296894015329648 -1.2491793110031 -1.45282956456986 0.000522704484713462 -1.27271601238445 0.410246343361583 0.536774071914854 -1.56433189731513 -1.62365396121394 -0.848697482965683 -0.890239131564838 -1.55348045329115 -0.27165268359001 -1.15687377329742 -1.35670445427145 0.000153390869966535
"Rv0020c" -3.96583974590524e-05 -0.000289892131606325 3.35262965083088e-05 -0.000587905397043517 -0.14961104227459 -0.971519746099343 -0.612810349753258 -0.00943967650302374 -0.55439142855642 0.411250361592544 -0.00526810738975273 -1.07452571414892 -0.705403972842032 -0.457294199933889 -0.675924266528557 -1.03335027915529 -0.114155473072965 -0.778584832767191 -0.58986920053926 0.000540738836197488
"Rv0021c" -4.18401776476936e-06 0.000146433382282475 0.000124633109007942 -0.000158589396240734 0.150167217324534 0.295604122732945 0.55282941280597 -0.000103592729911649 0.572724597429348 1.18768471163756 0.860239451246704 0.0483769141336133 0.741137528121491 1.46397276868166 1.38564360120172 0.0936900222993534 0.137263805823787 0.219474421295866 0.473083404248102 0.000569407220483879
"Rv0022c" -0.000247358238405262 -2.39834347328864e-05 -0.000566179911274893 2.15714386788252e-05 0.366501314966785 0.198410840462321 2.49400670327493 -0.0157365996224182 -0.481889090507022 -0.288278161558085 0.00279543045134737 1.34016377759149 0.332413598568113 0.17845122978564 2.79232852017697 1.10279556610293 0.523031338709874 0.183828480833631 2.71802480945995 -0.00409637850709042
"Rv0023" -2.09150016461987e-05 -5.02176443961407e-05 8.20727443958562e-05 -3.87897172216575e-05 0.0741106488040572 -1.10060872570026 -0.675756236075472 -0.0453025889693494 -2.7522391544587 -0.973281227252911 -0.664820885039148 -3.0680613537156 -2.65556207564038 -2.20483845857638 -1.47165029376214 -3.48475214113411 0.0740093868108697 -0.98314100404492 -0.667016619403545 -0.0110707006427325
"Rv0024" -2.01301103349131e-05 7.42987369255472e-05 -2.29823802281716e-05 -0.000108263194532268 0.168788777139882 -0.256310986198829 -1.09873551668298 0.00709045417726254 -2.34522283620579 -0.43812689828058 -0.539332543718673 -3.19951889081082 -2.14552816408311 -0.78490290746019 -1.67687737912468 -3.06979304263628 0.15683892314976 -0.257980796841181 -1.03105391977012 0.00198809966580453
"Rv0025" -6.89785524894332e-05 0.000111044464471198 8.66335242225467e-05 -9.67719819540861e-05 -0.0443328140696945 -0.157324957719421 -0.591982841665489 0.0524493811412679 -0.90917761174106 0.131950233987171 0.256328487720435 -1.20578521338297 -0.924287889122693 -0.117844247280996 -0.438759338419924 -0.825721871721667 -0.00646152341561394 -0.182928513006447 -0.59485942658153 0.012975665522487
"Rv0026" 0.000200546731913945 0.000199694585465722 0.000320504983096137 -0.000128421165241497 0.216682813888353 -0.149575649455308 -0.213814966856406 0.0180188220110709 -0.804407058175189 0.633318563691797 0.687770942502979 -0.539056744768857 -0.639384641326886 0.396847221826735 0.340839653756194 -0.356749749317301 0.142374041106305 -0.189879464437186 -0.313195791270064 0.00346249651239877
"Rv0027" 0.0003576251867979 0.00019691004893461 0.000282891180283715 0.000329883576615595 0.513734775614709 0.0324654378145168 -0.00218012594497684 0.00762292693384858 0.245750247867102 0.371197444601916 0.617456531147559 1.17754109543775 0.656960529730631 0.329581483182186 0.491335718574498 1.1712772829215 0.334337496722414 -0.0275284397860832 -0.109937300598106 -8.82629995126884e-05
"Rv0028" 6.43500698501428e-05 0.000188188543696212 0.000406141179910767 -0.00018305926792349 0.383968369025447 0.00881175505220108 -0.691492723985017 0.00375482891682069 0.547792061069336 0.580908417195557 0.928147591911654 1.16220596502919 0.942752223404942 0.511781352564347 0.0371891902988775 1.26301599572946 0.321635723158419 -0.0487503219097868 -0.810194212856732 0.0013750793391687
"Rv0029" -0.000596144897549844 -0.00015239859464889 0.000228097155610915 0.000294505249181309 0.0716696672253262 -0.582938430368732 -0.502483078903909 0.00700796392321921 0.330958403588768 0.891479390407321 0.709718760907187 0.975582068465596 0.505037140686983 0.298119858903378 0.143928892758066 0.99127806247936 0.158732806285535 -0.546419099142101 -0.541598028260199 0.000176394547806834
"Rv0030" 0.000266625412167887 0.00022192498160396 0.000197376326471002 0.000698204207317049 -0.0729350961467858 0.104233012625359 -0.321930907901917 -0.0206006093141949 1.26340241748339 1.50306319772965 1.16035412092279 1.47451345320337 1.02160158918259 1.53112222166749 0.710838863051319 1.12010756855872 -0.189943300423956 0.0135066752405031 -0.388505158765906 -0.0122266949549514
"Rv0032" -0.000274793000441763 -0.000354677599461888 9.68390133455349e-06 0.000620970333752783 0.102960683324533 0.40047922118909 0.261037213245961 0.0660888181341049 -0.368618839487618 -0.908717661249929 -1.08060083856073 -0.422612466722115 -0.146348886396353 -0.28342384604014 -0.805026742152817 -0.231011202516858 0.180205451905813 0.480235975768842 0.243975729974657 0.00345611314239055
"Rv0034" -2.02419964537452e-05 7.71733011488648e-05 6.37867695156947e-05 -8.1128852305174e-05 -0.0553725432373976 0.0480090267748363 0.186872519289452 -0.000324394954737911 0.697352483613184 -0.414336591834688 -1.1084758967711 -0.0905682365750819 0.684839832001526 -0.388479801895567 -0.894898580297415 -0.0749860824930521 -0.0128319917765458 0.0128615823416067 0.132741879449388 0.000266387345217548
"Rv0035" 0.000144731670740996 5.52940997953231e-05 0.000144714031859088 -0.000133793249073959 -0.0471843579209957 -0.286266748057631 0.0578255947322245 -0.0234245506119279 -0.13222775499471 -0.598854624720404 -1.04189633720722 -0.0514358321824289 -0.281411951283679 -0.990386374233044 -1.06558746127544 -0.216808697082742 -0.108313835698369 -0.278351938588527 -0.0153020706253203 -0.00266233375803157
"Rv0036c" -0.00012109634422048 2.75786522681868e-05 -7.58691642665376e-05 -1.92494835832333e-05 -0.112335575863684 -0.268916058334355 -0.379521775057203 0.00115558003584533 -0.237838564532685 -0.528338882454274 -0.604069676448999 -0.217832900963844 -0.332111925144506 -0.835716387479361 -0.976058007989256 -0.19935640052023 -0.0815718045453243 -0.256269713519129 -0.344928516596457 0.00021523045075602
"Rv0037c" 0.000133846465325258 -1.88130549889685e-05 8.27248379164245e-05 0.000478000049998324 0.225504494011615 -0.706907008900817 -0.339250953212793 -0.00613199413449799 0.629326863218094 0.56609661418811 0.766866211608613 0.713342241101785 0.819198407504512 -0.17850737770206 0.361985305740732 0.521755194196297 0.148618305102524 -0.658928986329693 -0.356156032793804 -0.00351206771081861
"Rv0038" 0.000219828199147641 0.000225299315011626 0.000158248115878066 0.00135188016210909 0.274602549688255 0.354181342854691 -0.00286188579809474 -0.00781441124178202 0.181484367496898 0.718727675542679 1.23110348706876 0.11432362157345 0.410035390354499 1.02741608761048 1.16464733828756 -0.150349767246237 0.190029287006082 0.259372646661231 -0.0623204103922 -0.00900100134000381
"Rv0039c" -0.00011553770857518 7.51924354982974e-05 -0.000642683782125154 -2.46691373977742e-05 -0.0280414289747899 0.313035544310781 0.409886978114432 0.00334180127158211 0.136998144272641 0.141051985862308 -0.619278378043124 -0.968237349774995 0.251162978568124 0.479354391147442 0.12025799241194 -0.909822942418086 0.0673360842194707 0.215127027295797 0.576210602792842 0.000882029762746244
"Rv0040c" -0.000431320539925977 -0.000242039256892547 -0.000147759920227298 -0.00291624357719586 -0.123892686922359 0.0331082530734309 0.58535223428246 -0.0293694145096747 -0.939007225777703 -1.41280759887585 -2.56560376045192 -0.838152349441776 -0.818791638121637 -1.25085134830946 -1.85027484814996 -0.781681672143106 0.0955616423052811 0.121713361591194 0.620156160828222 0.000760813737584757
"Rv0041" -5.72703072365195e-06 -0.000235827573406073 0.000198426465179902 -0.000120351352364815 -0.00775185274017595 -0.176977812926737 -0.436522949860664 0.00133778057306455 0.238586889862165 -0.257353959680943 -0.564310462154716 0.0855840109467595 0.23410288913047 -0.382492733560443 -1.09421864263606 0.134015366906996 -0.00573603611910428 -0.101114084481533 -0.488070284968582 0.000587365395220544
"Rv0042c" 3.32973452938089e-05 0.000160495885254823 0.00011882509185955 -4.87898840180257e-06 -0.149289328686289 -0.166269715913441 0.0528345538765419 0.0100465623057392 -1.02766482180248 -1.3766993945013 -2.06184520612309 -0.811280298578963 -1.21894497894947 -1.66169265461549 -2.07298728062109 -0.702040152920129 -0.145366716318367 -0.203466837490546 -0.00410057365769973 0.00155645195889355
"Rv0043c" 9.63680477316871e-05 -0.000225631988397227 9.95156647333453e-05 -7.59667842820665e-05 -0.21315854703236 -0.379132537532652 0.162770368156325 -0.0202632713129767 -0.0481063518908121 -0.629332370476043 -0.725041977943228 0.27360388800295 -0.308904764727874 -1.0128132194439 -0.591266717469931 0.14385594850564 -0.221550610723605 -0.300649734800181 0.122148760142662 -0.00198552673937157
"Rv0044c" 0.000524839801408226 -2.29085758607497e-05 -9.07385785605196e-05 -0.000698835597178074 -0.209259054243212 -0.393879836241053 0.253946757490963 -0.0354668715840107 -0.401649774449001 -0.807144722083526 -0.36820087879998 0.0625584363700668 -0.782363337580549 -1.27168568030794 -0.0647884320332686 -0.00694858788868901 -0.325740020739329 -0.366246062412082 0.274760370578222 -0.000884637920127752
"Rv0045c" -0.000335326763923872 -6.5601500581693e-05 -6.87986572617212e-05 -0.000189992173403199 0.251172960398379 -0.350272311892617 0.717465502878713 -0.00188928847119692 -0.299262998415878 1.7266253380323 0.671264263780733 1.09197055680788 0.222368677728076 1.37688294585283 1.48993099548234 1.13095014966431 0.400388435643316 -0.270765941011064 0.701984455333622 0.000505758017034833
"Rv0046c" -0.000482069498726598 -1.50309885794697e-05 -0.000103912138091205 -0.00119621081891438 0.396542009373167 0.176299851292193 0.677957965961438 0.00769303082292069 0.902452571529462 2.78821613035479 1.87845647172189 2.54455457222597 1.67681739851174 3.00832528248132 2.67814885388205 2.85826116892698 0.611662829167739 0.157185063266161 0.686338351294479 0.00817151332988941
"Rv0047c" -0.00022149707152357 -6.74401389922941e-05 -0.000299092198662999 -0.000763159595879762 0.24948321362154 -0.0918733944860655 0.544560506329768 3.36457290127258e-05 -0.811246981606552 2.99837903202769 1.59574058719112 0.9508958648528 -0.148402219520901 2.96635689488388 2.44278363768081 1.15262985522855 0.410986195903034 -0.0316171897346962 0.607436053595766 0.00330364535623206
"Rv0048c" -0.000125586960665918 -6.29008502733942e-05 0.000126880511885075 -5.50663957947451e-05 0.299995114837399 0.284604966410311 0.463936894243547 -0.0279558396623545 0.836340583485996 2.33721776254868 1.65650260726362 1.1099101196055 1.20447304407642 2.66763732816365 2.0915054115889 0.950642867987856 0.312160209079536 0.280278575628389 0.393297702301992 -0.00273664970400098
"Rv0049" -0.000406338880427187 -0.000311369963979129 -0.00902083893690151 0.000739251360787102 0.299244339329211 0.910663980843713 0.128713995983416 -0.0202449518397799 0.162087806129776 -0.123762747864951 0.337882468493208 0.213513573605616 0.578991907365505 0.888269613281287 0.744386459772868 -0.0514644320603313 0.368294458988624 0.957452012359211 0.379461620736447 -0.0126910994180988
"Rv0050" 8.7281816175296e-05 -0.000708538174983298 0.000102655883791391 -0.000530031654423325 0.0228862263482826 0.646617553068904 0.0919938887097869 -0.0398050050390846 -0.396584842335954 -1.15242525977657 -0.227204671941757 -0.128837457204951 -0.401329680029188 -0.288559090882924 -0.173376819883753 -0.206538544879046 -0.00244327104531805 0.80167324941906 0.0491285985466451 -0.00100275592769043
"Rv0051" 0.000313028152548244 -0.000157039215133264 2.03824725966291e-06 -0.000299438009256848 -0.18275900005842 0.420392383796861 -0.061235836394406 -0.0116883450871935 -1.02709593588125 -1.78309729077485 -0.881569953755829 -0.838824859670898 -1.28126117445548 -1.2959275681629 -0.947067093483788 -0.879330121144738 -0.227127254645993 0.435430999170149 -0.0598311081811781 -0.000476089708462158
"Rv0052" -4.19197008091262e-05 0.00043606474484256 0.000157052000190492 6.96950405795042e-06 0.0663180207299372 0.444870195208414 -0.0644671924989254 -0.0206303322858178 -0.694481208139328 -1.32995188859261 -1.07701117119549 -0.482815260932472 -0.611877226184648 -0.932134834285459 -1.20969410715758 -0.648931198374896 0.0719155535696435 0.311611529616102 -0.115377511901318 -0.00288443868256216
"Rv0053" 5.39391518723568e-05 -0.000234620065249726 -1.51902263072722e-05 -0.000139281125484015 -0.197975432230917 -0.481394159319015 -0.0501505371183898 -0.0242745326670073 1.6444958982704 1.09814743257046 0.830639297549827 2.54175981929072 1.39028328786007 0.690348350605164 0.788881566251832 2.38773008639489 -0.19736575508517 -0.321514914033659 -0.0380599839057986 -0.00242614289467958
"Rv0054" -0.000144289993692375 -0.000452524567684117 -9.93079959472102e-05 0.000626240365103394 0.264312159303439 -0.168499808700128 1.73848809620796 -0.00182282303706853 -0.458848947796547 -0.0098422186503941 0.146168585003559 1.03737326711112 -0.108943447939818 -0.0359719492701239 1.94958379108956 0.876129943499088 0.288471504163261 -0.0202547086747145 1.76309983385256 -0.00269284537211182
"Rv0055" -0.000736808358409254 -0.000193610932459304 -0.00106583886359783 -0.000218251558486589 -0.0996239428876826 -0.138686212612197 1.99527344821505 0.00743021743793958 -0.412366057156837 -0.763693784833383 -0.74471319749923 0.896699573115001 -0.211620752644323 -0.865574914531816 1.48935033527761 1.04512870016542 0.162106598466307 -0.0685780982273966 2.22037529036784 0.0023107297615207
"Rv0056" -0.000438890861580716 -0.00049890941849652 -0.000166185788069927 -2.93011903008818e-05 -0.0961259414401532 -0.00930961260319705 1.78764354506637 -0.00601303204468571 -0.173294057597527 -1.08978583415772 -0.768824920821588 1.09386084281158 -0.125159841849889 -0.948420936647424 1.09682406526154 1.0368436366557 0.0421181576610507 0.110908426490918 1.84105196277188 -0.000719069204956665
"Rv0057" 7.22436254359804e-05 -0.000162710371709453 0.000192004248415231 -7.96651639772392e-05 -0.1415555775535 0.010117212799966 1.71424093673072 0.00184175295524015 -1.19474512336643 -1.52665547498669 -0.885601679632036 -0.607800145008816 -1.36836067514664 -1.47430064406799 0.768982486692341 -0.565336316268397 -0.148132450317625 0.0409085065688325 1.62749457194918 0.000515999304719075
"Rv0058" -7.37880750356216e-05 -3.18438911256579e-05 3.15849267254954e-05 -0.000134040871128439 0.305082560625477 0.815677872386237 1.99884098602036 -0.0346505477128261 -2.16997093764015 -2.29826406246959 -2.17792513234185 -0.216749270300944 -1.72790977285981 -1.36948592385638 -0.19191647445396 -0.468548587472686 0.302453013670001 0.745940311095345 1.91549855415055 -0.00476488812643944
"Rv0059" -8.29380635686591e-05 0.000185626489484715 0.000136478472752984 -0.000738107758997532 0.143706299165004 0.666580273732049 0.824078074050508 -0.0301563156840565 -2.13551280949959 -2.24444657279184 -1.84221413984868 -0.584842243155343 -1.88076657914058 -1.5711702534718 -1.03096604651162 -0.686240785419973 0.174278239822426 0.471715893510408 0.654328776528371 -0.00148247823669316
"Rv0060" -7.85333809522891e-06 0.000250464304334864 0.000267636081177489 7.43126591065658e-05 0.670549332882426 0.631457561466715 1.07487544617572 -0.0123994529338066 -0.793077070194679 -0.434004126654551 0.214164246117899 0.330477649712746 -0.0762937702763086 0.135903175887601 1.20497455900082 0.192016689114832 0.621595274742643 0.509259445497429 0.920834924314323 -0.00214175313673782
"Rv0061c" -0.000315611473026621 -0.000279675386646665 -0.000117713194239451 0.000133454312908301 -0.0144193413901873 -0.465800033344988 0.10673039618447 -0.00746421992369506 1.69777389184582 0.392060336002656 0.102788532537923 2.06442485910803 1.84479716429344 0.011937571143875 0.280296669803978 1.94093358200853 0.110428392551181 -0.316789468807652 0.152833472999026 -0.00181472069662994
"Rv0062" -1.28724171814538e-05 -0.000354106403742068 -0.00290181868766955 0.000441435790142612 -0.679769781936517 0.305742295242292 -0.129901995297253 -0.0289490710800937 0.197843058646492 -1.73619954821878 -2.76684705899414 -0.61472499695482 -0.544792084587331 -1.17249658583766 -2.5691969812865 -1.00951414109247 -0.588009492330186 0.418756438161376 0.165595472360516 -0.0133538073237681
"Rv0063" -0.000175229106680328 -0.00015447700357932 -0.000319838522533963 -0.00047736580807691 -0.238054676700657 0.192912605372747 -0.3320385424256 -0.018843271645025 -1.05099679004606 -1.06675274129812 -2.37056017240889 -0.143832071120332 -1.24136190679386 -0.770935765958114 -2.60073683884387 -0.18251898823488 -0.147080825738544 0.225715228154363 -0.19064592875584 -0.000488454485148615
"Rv0063a" 0.000141474643597056 0.000426591268475943 -8.91786673189609e-05 0.000967050869632673 0.500417440569878 0.789588158249801 -0.588734005245429 0.00453786395147739 -0.471636917361081 0.687334984156568 2.36364088655084 0.411985738135355 -0.00172086817940542 1.36314362388193 1.78626259301648 0.273867145187367 0.354327587707633 0.529302421221453 -0.485262864127632 -0.00210517244883153
"Rv0064" -1.05686740635551e-05 0.000379113463697535 0.000134741397320496 -0.00017189390935751 1.34799435037238 1.11189655584064 -0.327524620204684 -0.0194132663861106 0.542404535729572 1.7414342798221 2.67096796544496 1.58041608053488 1.94596711462389 2.72304144690811 2.23469988233741 1.45756163683899 1.28576795372974 0.842388803508774 -0.368092844364423 -0.00181406848681722
"Rv0064A" 7.54318235416267e-05 -0.000217064878749315 0.000552582329998136 -0.000151576624375828 1.25205813715008 1.36597561874082 -0.0698019805420214 -0.00806786984961234 0.622295467801226 1.67994678051347 3.40515581729524 1.75807017937725 1.87640842153669 3.37369922639719 3.08104757996509 1.70164274179557 1.02006193852458 1.43615355172001 -0.251160444645636 -0.000826056686623887
"Rv0065" -2.12210797672003e-05 0.000146599447733097 -7.32747071966147e-05 -5.55810172013257e-06 0.672295795890962 1.07245749099932 0.153609702655411 -0.0122886558174182 0.753825688262085 1.09577695626265 1.81165946882424 1.08512230471355 1.53078004561462 2.16757860026778 2.03791478020916 0.949817517523274 0.597723943990463 0.901712037452787 0.177390840754787 -0.00204612393765233
"Rv0066c" 3.31702952064495e-05 -1.2761542023895e-05 3.79052209865963e-05 -0.000342406702859755 0.0600666592108146 -0.913788261247263 -0.690611462883124 -0.00257089630118425 0.0613596943051673 0.0397317550274297 -0.0599097234407518 -0.329985215335042 0.111909973892443 -0.917036905368441 -0.814885325690599 -0.263158731520864 0.0389211177178924 -0.852928526665893 -0.667895026599609 0.000887084686282461
