"Iron_effect_in_EXP_G_D.log2FoldChange_shrunken" "Iron_effect_in_EXP_G.log2FoldChange_shrunken" "Iron_effect_in_EXP_G_L.log2FoldChange_shrunken" "Iron_effect_in_EXP_L.log2FoldChange_shrunken" "Iron_effect_in_STAT_G_D.log2FoldChange_shrunken" "Iron_effect_in_STAT_G.log2FoldChange_shrunken" "Iron_effect_in_STAT_G_L.log2FoldChange_shrunken" "Iron_effect_in_STAT_L.log2FoldChange_shrunken" "Phase_effects_with_Fe_G_D.log2FoldChange_shrunken" "Phase_effects_with_Fe_G.log2FoldChange_shrunken" "Phase_effects_with_Fe_G_L.log2FoldChange_shrunken" "Phase_effects_with_Fe_L.log2FoldChange_shrunken" "Phase_effects_without_Fe_G_D.log2FoldChange_shrunken" "Phase_effects_without_Fe_G.log2FoldChange_shrunken" "Phase_effects_without_Fe_G_L.log2FoldChange_shrunken" "Phase_effects_without_Fe_L.log2FoldChange_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.log2FoldChange_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G.log2FoldChange_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.log2FoldChange_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_L.log2FoldChange_shrunken"
"Rv0001" -0.000119252120026004 3.69564169717275e-05 0.000195877535298203 -0.000370997273488608 0.136554019463531 -0.0764636067419762 0.377587864451241 0.0216530141319812 0.584591361126292 0.391723708686445 -0.688538358535734 0.860185172321344 0.792098154522453 0.288810659425587 -0.381979217111672 1.12740611967338 0.165495051880988 -0.0785000937834407 0.269966776412543 0.00749998492685127
"Rv0002" 9.24553001116443e-05 -6.15135121323656e-05 1.93329832533643e-05 -1.67110632792579e-05 -0.227834164621739 -0.0537101140824655 0.562963214333659 0.00173675217977919 0.748221149333067 -0.258995351129349 -1.54709024973639 1.3371810403821 0.452615315653812 -0.292277725050441 -0.961194589881959 1.36482411516464 -0.239297968286291 -0.0247784451924628 0.518402592300046 0.000334407342548457
"Rv0003" 0.000340618288220517 0.000209021709375408 0.000194263454304628 0.000718911832641121 -0.319790048852632 -0.0627562679175734 -0.115690558526924 0.00422012645849533 -0.497868318644884 -1.45587337196118 -1.62018402959542 -0.534811667850482 -0.964916058332929 -1.60706080418984 -1.83125476974008 -0.627714516875253 -0.395266466488995 -0.107299182978224 -0.180744301579799 -0.00124780185318196
"Rv0004" 0.000651247083534034 0.000372320310740289 0.00070516364355432 0.0363584529846549 -0.318374683326615 0.0835747282779386 -0.146367215556366 -0.00261686101995817 -0.568633292664474 -1.78617718439554 -1.82836439620072 -0.860801011717613 -1.06559999273143 -1.77027736738823 -2.15156229934498 -1.18514897727249 -0.438976745731459 0.0138930908433003 -0.285627385864042 -0.0193650929308899
"Rv0005" 0.000167924352440228 1.57865222377215e-06 0.000463001915404785 -0.000145000619331061 0.0477432899197728 -0.304429487789841 -0.10489251881963 -0.0146369439004833 -0.0447203602289534 0.384229620340639 0.909144854684679 0.317903213541431 -0.0551188871828506 0.0603037874945164 0.640932236569542 0.235213934312198 -0.00803781235999371 -0.278382156709361 -0.242408988536883 -0.00108890185252008
"Rv0006" 0.000560818063170697 -0.000570593402955142 0.000612190959783735 -0.000242829788138085 -0.29033309525367 -0.262212290563719 -0.217349883594306 -0.0607367618155864 -0.657643551428274 -0.898517597413578 -0.0275417096761423 -0.0262354570310178 -1.04880877944709 -1.07881201043459 -0.374240378803868 -0.151714121188857 -0.361055529931149 -0.158320640903096 -0.329150447074553 -0.00223246384413958
"Rv0007" 0.000153000048405984 -0.000188689696794509 -5.92214683615582e-05 0.000727472240152848 -0.263858402098632 -0.26570572497452 -0.25209483820682 -0.0159316088318804 -1.26930098528642 -1.55866428507523 -0.871580747786778 -0.48048722532297 -1.62790390090192 -1.78754412386171 -1.11366462536149 -0.768737542702462 -0.290918316012737 -0.174987325975045 -0.210856979950586 -0.00991577297621434
"Rv0008c" -0.000208827366953929 -0.000119682255289246 -0.000132639769863135 -8.00808433188672e-05 -0.0231256820832814 0.0320151973504331 0.323656648920648 -0.0127603485735877 0.794576140757272 1.0498443968124 0.34537575030009 0.153186352369328 0.914820901992068 1.16589770007099 0.779171644961282 0.0281765855399619 0.0848740844380327 0.0747177491462559 0.364050742023069 -0.00185933612669419
"Rv0009" -0.000760031034260894 -0.000139024111914934 -0.000107308619163532 -0.00012524541220813 -1.19468651855917 -1.50322466461927 -1.78833798794584 -1.08659853652218 1.58193660807 -0.386812238435596 -0.642114634711058 1.01739550013485 0.845681403112574 -1.86719546247268 -2.39087346715209 -0.0411086002238362 -0.592472690857127 -1.35409445525162 -1.67664827131164 -1.02228366934645
"Rv0010c" 7.04701196083943e-05 0.000194086368666735 5.82611265015288e-05 -3.50850012315641e-05 -0.545310963579457 -0.951965099303877 -1.13803009852993 -0.539617027581024 0.499415089923623 0.00597577038562678 -0.285837713233547 0.134741409711185 -0.111355333071526 -1.0733005684996 -1.48450510499422 -0.465044840148602 -0.523674010740541 -0.983204096038551 -1.12844196318288 -0.351130598749088
