"Iron_effect_in_STAT_L.LogFC" "Iron_effect_in_STAT_L.BH" "Pattern_L_stat" "RV"
"Rv2383c" 5.11345890098002 3.76458467112902e-36 "UP" "Rv2383c"
"Rv2384" 3.36114270590726 2.63035650655275e-37 "UP" "Rv2384"
"Rv2385" 2.74760007499012 3.17819063782615e-26 "UP" "Rv2385"
"Rv2386c" 4.84903533395886 2.76396763207212e-46 "UP" "Rv2386c"
"Rv2472" -0.510364381348993 0.0010658577953791 "DOWN" "Rv2472"
"Rv2551c" -1.29158782802971 1.81239285398381e-05 "DOWN" "Rv2551c"
"Rv2617c" 0.366724963413236 0.0145155900503741 "UP" "Rv2617c"
"Rv2618" 0.987914152922835 3.4258065545364e-08 "UP" "Rv2618"
"Rv2619c" 1.43649034072414 1.08490279724971e-16 "UP" "Rv2619c"
"Rv2620c" 1.7830246320266 3.67462417976615e-17 "UP" "Rv2620c"
"Rv2621c" 1.69208278029153 3.085486659755e-20 "UP" "Rv2621c"
"Rv2622" 1.34531298475278 5.80689747564706e-15 "UP" "Rv2622"
"Rv2641" 0.96224417137108 3.27081792288523e-06 "UP" "Rv2641"
"Rv2662" -0.30852603341864 0.0422986922539312 "DOWN" "Rv2662"
"Rv2665" -0.237516899748657 0.0395596312890863 "DOWN" "Rv2665"
"Rv2748c" -0.432542249447731 0.00109232592343011 "DOWN" "Rv2748c"
"Rv2912c" 0.512135662515881 0.00938443190381696 "UP" "Rv2912c"
"Rv2963" 0.348310411687902 0.0311983071308068 "UP" "Rv2963"
"Rv2987c" 0.757373499902079 0.00119840985464823 "UP" "Rv2987c"
"Rv2988c" 0.428472128521853 0.0393891752006974 "UP" "Rv2988c"
"Rv2993c" -0.363070766075618 0.00344557335790054 "DOWN" "Rv2993c"
"Rv3038c" 0.267164511909256 0.00127640416645004 "UP" "Rv3038c"
"Rv3106" -0.61111614698912 5.74284098510882e-05 "DOWN" "Rv3106"
"Rv3145" -1.36038621552411 2.66191663869877e-18 "DOWN" "Rv3145"
"Rv3146" -0.927189717531505 1.37621565779388e-12 "DOWN" "Rv3146"
"Rv3147" -0.691039808196548 6.67488291896698e-06 "DOWN" "Rv3147"
"Rv3148" -0.532812349430129 0.000918049807071717 "DOWN" "Rv3148"
"Rv3149" -0.59598746094907 0.000169410697886639 "DOWN" "Rv3149"
"Rv3150" -0.586608813090921 6.58909152474622e-05 "DOWN" "Rv3150"
"Rv3152" -0.3540312329079 0.00781094890547427 "DOWN" "Rv3152"
"Rv3153" -0.300068110623643 0.0187787881126789 "DOWN" "Rv3153"
"Rv3154" -0.434957357064695 0.000293683440182358 "DOWN" "Rv3154"
"Rv3156" -0.272843370025878 0.036156513628309 "DOWN" "Rv3156"
"Rv3158" -0.255044912027429 0.0192074358724793 "DOWN" "Rv3158"
"Rv3215" -0.249087309494223 0.0355896573771837 "DOWN" "Rv3215"
"Rv3218" -0.299856167771153 0.035447477616876 "DOWN" "Rv3218"
"Rv3269" 1.85526932343972 2.06655285880432e-13 "UP" "Rv3269"
"Rv3270" 2.12800637664368 1.43059033185883e-19 "UP" "Rv3270"
"Rv3271c" 1.8398549767638 1.09232798641836e-22 "UP" "Rv3271c"
"Rv3288c" -0.335657235857707 0.0281701983441872 "DOWN" "Rv3288c"
"Rv3291c" -0.579632428073398 9.79124612625921e-06 "DOWN" "Rv3291c"
"Rv3292" -0.610533554123028 0.0015427386605942 "DOWN" "Rv3292"
"Rv3294c" -0.59828706776812 0.00144200038444034 "DOWN" "Rv3294c"
"Rv3401" 1.15758465541861 8.59276561218855e-16 "UP" "Rv3401"
"Rv3402c" 4.6307996271934 3.08984949128445e-81 "UP" "Rv3402c"
"Rv3403c" 2.81492445796303 1.50652798434253e-45 "UP" "Rv3403c"
"Rv3408" -0.28036720833893 0.00982743016700799 "DOWN" "Rv3408"
