"Iron" "Dextrose" "Growth" "LCFA" "Glycerol" "Culture" "Sample_ID" "Original_ID" "setup" "Full_path" "short_setup" "color" "fill"
"C7_Fe_YES_1" "YES" "NO" "EXP" "YES" "YES" "C7" "C7_Fe_YES_1" "11_10_ANmF1C7" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00161701_C7_C8_Diciembre_2021/RawFASTQ/11_10_ANmF1C7" "C7_Fe_YES" "#a9dea9" "#a9dea9"
"C7_Fe_YES_2" "YES" "NO" "EXP" "YES" "YES" "C7" "C7_Fe_YES_2" "11_10_ANmF2C7" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00161701_C7_C8_Diciembre_2021/RawFASTQ/11_10_ANmF2C7" "C7_Fe_YES" "#a9dea9" "#a9dea9"
"C7_Fe_NO_1" "NO" "NO" "EXP" "YES" "YES" "C7" "C7_Fe_NO_1" "11_10_AN_F1C7" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00161701_C7_C8_Diciembre_2021/RawFASTQ/11_10_AN_F1C7" "C7_Fe_NO" "#a9dea9" "white"
"C7_Fe_NO_2" "NO" "NO" "EXP" "YES" "YES" "C7" "C7_Fe_NO_2" "11_10_AN_F2C7" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00161701_C7_C8_Diciembre_2021/RawFASTQ/11_10_AN_F2C7" "C7_Fe_NO" "#a9dea9" "white"
"C8_Fe_YES_3" "YES" "NO" "STAT" "YES" "YES" "C8" "C8_Fe_YES_3" "18_03_ANmF1C8r" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00170106_C14_C15_C8r_Mayo_2022/RawFASTQ/18_03_ANmF1C8r" "C8_Fe_YES" "#2c682c" "#2c682c"
"C8_Fe_YES_4" "YES" "NO" "STAT" "YES" "YES" "C8" "C8_Fe_YES_4" "18_03_ANmF2C8r" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00170106_C14_C15_C8r_Mayo_2022/RawFASTQ/18_03_ANmF2C8r" "C8_Fe_YES" "#2c682c" "#2c682c"
"C8_Fe_NO_3" "NO" "NO" "STAT" "YES" "YES" "C8" "C8_Fe_NO_3" "18_03_AN_F1C8r" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00170106_C14_C15_C8r_Mayo_2022/RawFASTQ/18_03_AN_F1C8r" "C8_Fe_NO" "#2c682c" "white"
"C8_Fe_NO_4" "NO" "NO" "STAT" "YES" "YES" "C8" "C8_Fe_NO_4" "18_03_AN_F2C8r" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00170106_C14_C15_C8r_Mayo_2022/RawFASTQ/18_03_AN_F2C8r" "C8_Fe_NO" "#2c682c" "white"
"C11_Fe_NO_3" "NO" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_NO_3" "12_1_C11R6_F1" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6_F1" "C11_Fe_NO" "#8cd9ff" "white"
"C11_Fe_NO_4" "NO" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_NO_4" "12_1_C11R6_F2" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6_F2" "C11_Fe_NO" "#8cd9ff" "white"
"C11_Fe_YES_3" "YES" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_YES_3" "12_1_C11R6mF1" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6mF1" "C11_Fe_YES" "#8cd9ff" "#8cd9ff"
"C11_Fe_YES_4" "YES" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_YES_4" "12_1_C11R6mF2" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6mF2" "C11_Fe_YES" "#8cd9ff" "#8cd9ff"
"C12_Fe_YES_1" "YES" "NO" "STAT" "YES" "NO" "C12" "C12_Fe_YES_1" "19_01_ANmF1C12" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_ANmF1C12" "C12_Fe_YES" "#355f91" "#355f91"
"C12_Fe_YES_2" "YES" "NO" "STAT" "YES" "NO" "C12" "C12_Fe_YES_2" "19_01_ANmF2C12" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_ANmF2C12" "C12_Fe_YES" "#355f91" "#355f91"
"C12_Fe_NO_1" "NO" "NO" "STAT" "YES" "NO" "C12" "C12_Fe_NO_1" "19_01_AN_F1C12" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_AN_F1C12" "C12_Fe_NO" "#355f91" "white"
"C12_Fe_NO_2" "NO" "NO" "STAT" "YES" "NO" "C12" "C12_Fe_NO_2" "19_01_AN_F2C12" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_AN_F2C12" "C12_Fe_NO" "#355f91" "white"
