"Iron_effect_in_EXP_G_D.lfcSE_shrunken" "Iron_effect_in_EXP_G.lfcSE_shrunken" "Iron_effect_in_EXP_G_L.lfcSE_shrunken" "Iron_effect_in_EXP_L.lfcSE_shrunken" "Iron_effect_in_STAT_G_D.lfcSE_shrunken" "Iron_effect_in_STAT_G.lfcSE_shrunken" "Iron_effect_in_STAT_G_L.lfcSE_shrunken" "Iron_effect_in_STAT_L.lfcSE_shrunken" "Phase_effects_with_Fe_G_D.lfcSE_shrunken" "Phase_effects_with_Fe_G.lfcSE_shrunken" "Phase_effects_with_Fe_G_L.lfcSE_shrunken" "Phase_effects_with_Fe_L.lfcSE_shrunken" "Phase_effects_without_Fe_G_D.lfcSE_shrunken" "Phase_effects_without_Fe_G.lfcSE_shrunken" "Phase_effects_without_Fe_G_L.lfcSE_shrunken" "Phase_effects_without_Fe_L.lfcSE_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.lfcSE_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G.lfcSE_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.lfcSE_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_L.lfcSE_shrunken"
"Rv0011c" 0.0061449982241179 0.00717639414321133 0.00972445076207198 0.0103260803772612 0.172761300127267 0.200042944902976 0.182757049794208 0.0516913007780797 0.18946349470604 0.196857347045751 0.192965075126764 0.189310999925792 0.191065225421848 0.202167672506619 0.19366219202339 0.189558335829743 0.220373730706154 0.261154436994216 0.240526236225139 0.031431216944227
"Rv0012" 0.0061411934892086 0.00720974419395583 0.00569920517997377 0.00719574636142911 0.123026905453594 0.146194928458471 0.133360984922355 0.0842429930054959 0.127845408292343 0.132631573425345 0.12811502203759 0.132075819505151 0.129358034876384 0.142852343664602 0.13072930958541 0.133424639684515 0.164102418399292 0.192580106150295 0.185283753686856 0.0372410557696144
"Rv0013" 0.00613635550198469 0.00610678231606216 0.00567188209115492 0.00680508986240011 0.0997041269639794 0.137849809826056 0.107596454948817 0.0848678478428705 0.100893918749068 0.112949893939812 0.102352291292722 0.102094471797723 0.102327956166004 0.129176473396123 0.104877814893241 0.103189149018737 0.133284732791266 0.167660728824941 0.144641114889238 0.0234627809823005
"Rv0014c" 0.00613963834883218 0.00621280241304743 0.0055704964459551 0.0104426163450831 0.115341736780828 0.142636176972341 0.124412731141807 0.0468380167338312 0.11735098706895 0.124754053690593 0.119016318552808 0.119604122388801 0.11915918717947 0.136628586593224 0.121913387183099 0.120093411670895 0.154583933077378 0.180423391933802 0.169779185678986 0.0188119559614932
"Rv0015c" 0.00614312988738243 0.00849725924222849 0.00642272682259545 0.0164707250460777 0.14577713897569 0.175298868652671 0.153602427832452 0.0452826652887676 0.152525749453018 0.156259157004428 0.15287919346292 0.156195269027819 0.154645219283648 0.168579790240925 0.154540033487971 0.156563202639614 0.191616759273562 0.224575958601395 0.206710207704174 0.0342377679779402
"Rv0016c" 0.0061345686980146 0.0060267853068634 0.00544175739918062 0.0126878083189949 0.0940973990164056 0.122057437511426 0.100573906596583 0.0296510798871751 0.0936604375042702 0.103908515156805 0.0957478493982193 0.0961068609239102 0.0955610869682194 0.114674332376359 0.0981436560804434 0.0963990583546235 0.126029120356851 0.153244379928308 0.135406190495415 0.0215725563820793
"Rv0017c" 0.00613977563341441 0.00619391571139714 0.00566370273159336 0.0142955908808068 0.115951654373435 0.149726404293718 0.127238150164273 0.0852600944705091 0.118109832005102 0.127848743181034 0.119876172868313 0.120021612649925 0.119963567971387 0.142461693833497 0.123900002368741 0.120819542702952 0.154562351169737 0.186781736250123 0.174218918979727 0.0192463567163588
"Rv0018c" 0.00613972762091621 0.00625590477069584 0.00548556655656535 0.00987617675033662 0.114957035124795 0.135410463350299 0.121950244376202 0.144052853212715 0.117564314001741 0.119551640862027 0.117512824674434 0.119744826909288 0.118937270240389 0.130899159160847 0.119801294165211 0.120851638020277 0.154041233580615 0.181227896550471 0.17154104303153 0.035848834338377
"Rv0019c" 0.00614218297789305 0.00633593975719178 0.00605008682371395 0.00764627652976062 0.135948494583531 0.161924016179917 0.147251485371599 0.042438420625581 0.139570902299652 0.14390528138794 0.14000333229939 0.144250480880941 0.14212370625174 0.156092899408826 0.143688410938045 0.144545345842912 0.179212437390922 0.215263989279204 0.206968773837206 0.0229689370184223
"Rv0020c" 0.00614263113097748 0.00714273895535841 0.00599828864448345 0.0118493940600778 0.13610030673114 0.148697464117738 0.142992291171937 0.0496660246157199 0.143522202110727 0.145610497243396 0.141606042061638 0.144521953341221 0.144117771666603 0.147859096651976 0.144763136605593 0.144650764134841 0.180024791902314 0.201884274889834 0.197531431165366 0.0235721297867002
"Rv0021c" 0.00614031599622809 0.00625004212495869 0.00569709581080453 0.00721862508320462 0.117161848103817 0.140881043940949 0.118780571224404 0.0393224651348275 0.120339042817135 0.132028080534215 0.119432370809132 0.128395237556079 0.122630971217771 0.134066892401259 0.118439793325589 0.128976095242239 0.156979890612611 0.176973319696919 0.162695117000725 0.020882816628907
"Rv0022c" 0.00614596315901893 0.00779414774991715 0.0156423661455119 0.0126012461416724 0.232686128322927 0.432598644969463 0.292047661181211 0.0789803462578914 0.238155867704115 0.474968834689523 0.284776464367864 0.24467725426249 0.25278605469018 0.483338214845723 0.236026428230457 0.25193309557199 0.306541382901417 0.433473065368379 0.383748968262665 0.0534669531386368
"Rv0023" 0.0061441506903089 0.00664365441535064 0.00687845025347228 0.0091641739321895 0.170629266681549 0.288607363912666 0.193765532194114 0.121689274458474 0.178192388878454 0.198781274614031 0.179993594293865 0.208914771597523 0.183886184000732 0.262785587250432 0.188986329115413 0.222402380244213 0.211350180147488 0.328728709559238 0.250815048374489 0.0769693625335552
"Rv0024" 0.00614262335028481 0.00640293094167382 0.00600847879435151 0.0081057605472352 0.14740308469067 0.185939556582292 0.16803880440944 0.0590646099377791 0.150204432695355 0.16639891186843 0.15071676979077 0.18312314331159 0.153805721422967 0.182548425481333 0.160557094132891 0.181758810042761 0.187295707836987 0.223730824754108 0.22301464877191 0.0341743672349276
"Rv0025" 0.00614332824602315 0.00659074291799849 0.006490583704178 0.00857017400902642 0.153771010790195 0.203848108889505 0.172563798094457 0.117031757405132 0.15700557514571 0.181531071083905 0.164015168833756 0.17772149244672 0.162899169295812 0.199237782201301 0.170593331021473 0.172931070059508 0.194729031994437 0.236569122145958 0.225763933820587 0.0776727459641724
"Rv0026" 0.00613892842126804 0.00625290980665561 0.00681818775643768 0.00677995439275904 0.11249050031297 0.13666282740199 0.116006863304695 0.0583898493944053 0.113215856772592 0.124881889920406 0.115673535074913 0.118696991891227 0.114980942313923 0.133566382095256 0.11691499392599 0.118238710678647 0.148839033385074 0.170427833383954 0.157258578142192 0.0321313544253208
"Rv0027" 0.0061410312604147 0.0064229424788207 0.00714752351914573 0.00858288865034989 0.12755685368126 0.196031922579801 0.139905798133051 0.0450265507783647 0.130052480113999 0.172019797229102 0.137056828410571 0.130901008009315 0.129269092117228 0.187743483507673 0.138299532601481 0.130366778290325 0.167867538588689 0.212420533696835 0.180847244982521 0.0204944658295873
"Rv0028" 0.00614126535666102 0.00642800365189162 0.00852297262788684 0.00772624886623774 0.12530518968194 0.181231622241009 0.145106637764919 0.0408214069215052 0.128305670082943 0.161530721633296 0.13458044594151 0.132420244055498 0.130213585290519 0.176949407186731 0.140791608017617 0.132772631755303 0.168221684434067 0.202340255500394 0.194036375104414 0.0242599878732158
"Rv0029" 0.00612964376977479 0.00598239155943053 0.00511727568982065 0.00605842317596962 0.0804489679041776 0.124718503518597 0.0822885479528817 0.0329086941728791 0.0788589965320599 0.0942582737700381 0.0778570329991654 0.0824375029059356 0.0821329792707657 0.114406488908873 0.0802795764823354 0.0822152507270494 0.109115205178046 0.145742473015456 0.110583196110196 0.0125257653661485
"Rv0030" 0.00614326579416452 0.00684800438804803 0.00677391809755126 0.0131796706734033 0.138718815603461 0.203093262835309 0.149865447888835 0.0701533712398258 0.147045174232326 0.185515321200556 0.145187470729336 0.157859720789965 0.153528080212981 0.19780491652759 0.150610437626879 0.160044790164699 0.187282430317844 0.223444641678069 0.196892093064156 0.0721599793630912
"Rv0032" 0.00614028986898994 0.00676292966091853 0.00542099635664627 0.0107865838554829 0.128313672707109 0.2329137360307 0.143147538294761 0.121879488959301 0.125034230330697 0.195052098099308 0.13396353559812 0.146211888878182 0.132113795446683 0.196409624372496 0.13166935681821 0.140653998899139 0.164527355068889 0.2605469243025 0.176580480003216 0.0355232257172841
"Rv0034" 0.00614721830324225 0.00913984359627096 0.0109773815371141 0.0181123962175406 0.268771920530486 0.415044558590739 0.318702220372236 0.0908452225353105 0.326999429634028 0.463810633282679 0.342898412602421 0.390840823906359 0.354033842587608 0.517569815254954 0.338377604653143 0.395679039250834 0.31343211257649 0.419549430254613 0.361688520052098 0.072144009003345
"Rv0035" 0.00614328186432144 0.00645624286780491 0.00670122048097031 0.0086427616743009 0.147704471627004 0.214321986168066 0.157800407361702 0.0745627529546746 0.152478149006632 0.184025143576006 0.158729657690239 0.16032026931485 0.1587746897683 0.209532885530965 0.15901353519364 0.162443503885744 0.191439737299899 0.248301265742498 0.204118497382367 0.0343449784325428
"Rv0036c" 0.00613444030912083 0.00601885600249551 0.00512687733389686 0.00590396544435409 0.0944683857885181 0.1462314035388 0.100939651673261 0.0307621696676331 0.0939530129924988 0.115852022910454 0.0951064428704525 0.0989275255781753 0.0961105991236506 0.133629536381508 0.0976812106902645 0.0992049281453958 0.125815017230961 0.169888142702235 0.13237813147201 0.0151870219519192
"Rv0037c" 0.00614183204580299 0.00626017381545952 0.00587423627494143 0.0102856382445067 0.128670166176224 0.158738167062246 0.131634055762231 0.044153881051959 0.134020309066979 0.140815844128473 0.13346090905757 0.136718268462761 0.135223800431947 0.151803727967384 0.134632709772202 0.136977229359927 0.171045309966089 0.202395957796469 0.179590256508992 0.0348738125616111
"Rv0038" 0.00613887242772569 0.00627047472586775 0.00570300424058943 0.0162385658325537 0.108808485388521 0.122511830562608 0.110620782774832 0.0415527538117422 0.112990729028388 0.117662656100627 0.11276922023099 0.114600000901742 0.112139195818627 0.118615147023225 0.112921878019019 0.114934304235715 0.146563771317752 0.161924883979422 0.151408624418685 0.0533466158731674
"Rv0039c" 0.00614581264260963 0.00743555219098589 0.0155944492293397 0.0117395658709557 0.196087710873423 0.242003469563863 0.211040141050749 0.0617911347980012 0.214195583465 0.237777651631791 0.219753787256169 0.22871237928457 0.223012426391624 0.247531560457497 0.217438803620557 0.22886051200045 0.244747878003547 0.283868116012669 0.287923506211605 0.0396384372262047
"Rv0040c" 0.00614332179696002 0.00710333794684347 0.00679012498515636 0.0303799872745883 0.14684166131416 0.175533527401117 0.160599354530194 0.0808193992549388 0.154218742435288 0.171088870387879 0.160194412377912 0.156100748507586 0.156430893244749 0.178076302661665 0.157821860797839 0.156998346528845 0.190912409010924 0.212461946257922 0.216213473735559 0.0262080862654186
"Rv0041" 0.00613759091513799 0.00620110908046106 0.00565929445103672 0.00645577820603206 0.101955829500012 0.120023180356124 0.107211000730751 0.0315444652242664 0.105910893379733 0.112220541075863 0.105534424047079 0.106200450201754 0.106422633475886 0.11735016906848 0.106774155268358 0.106326359558251 0.137884808033693 0.147578810482152 0.146352584365298 0.0171771003136977
"Rv0042c" 0.00614205938736131 0.00646615627058463 0.00612155934640709 0.00754800126646106 0.137503896496057 0.195031367262944 0.152515437165129 0.0512645459050389 0.139325611808747 0.169673549906881 0.149006144691482 0.142786604661782 0.143709310136943 0.189495076602734 0.149252341715955 0.142527866448218 0.177875171921592 0.224684669264897 0.193055885740493 0.0266098097192816
"Rv0043c" 0.00613757369928275 0.00617819265025424 0.00532079714732387 0.00630544923636737 0.109058673891514 0.193069512267055 0.118420853434297 0.0601331287354958 0.102383621517137 0.143369852624712 0.112443670397079 0.109505011547845 0.111941709725711 0.176883177475591 0.111991912619893 0.11101777335586 0.143272184439638 0.213262014436321 0.150840153875928 0.0238789007015611
"Rv0044c" 0.00613763386701665 0.00606917111796635 0.00533451593921934 0.010316193872388 0.114661413358385 0.203741940643769 0.119526095488919 0.0801848812355493 0.108141521329947 0.148610671296335 0.114179927529194 0.112147070468027 0.115896419628348 0.186478887350878 0.112284402587295 0.11475701912157 0.148566187243726 0.225207204687628 0.153495700865543 0.0193356140450096
"Rv0045c" 0.00614395924291313 0.00660919105717024 0.00659411869953251 0.00954650826481519 0.15648254458845 0.171324563514669 0.164019376473629 0.0473562469557504 0.166887461255201 0.169633835072609 0.164489511674801 0.166889646355425 0.167940843679289 0.174593716810301 0.164377901719753 0.167312558055861 0.210752982511584 0.222709574540778 0.226471764568459 0.0275716185788534
"Rv0046c" 0.00614351356483366 0.00647078000074536 0.00659003797759386 0.01817656668587 0.149205126818999 0.149841335663372 0.155475822011167 0.049699587824294 0.156243266805261 0.158112215411413 0.157238367980959 0.158003037123167 0.157418298090323 0.158402541871282 0.157619143014458 0.158434415144165 0.212983201108062 0.198350130384452 0.21616306053658 0.0574126129802535
"Rv0047c" 0.00614626037195643 0.00788007016965876 0.0117688796650571 0.0184245732509576 0.213958981946645 0.216880334191345 0.232909847205358 0.0613730435713184 0.24139866711023 0.248651319525168 0.244329842838611 0.242868123162344 0.241252501602788 0.24901316658809 0.246061216531845 0.243797486728279 0.286868761745232 0.270730499346607 0.317491638941592 0.0495350213810044
"Rv0048c" 0.00613908882230197 0.00612686185456009 0.00555095686645151 0.00661472457072453 0.108580813927438 0.115455669691375 0.108830624473386 0.0702247984558072 0.111665521540437 0.114397090870658 0.110733408124303 0.114639305290917 0.112838604230517 0.115136652824043 0.11036590971944 0.1155039109121 0.14855883620023 0.158307304222271 0.150818791032541 0.0282004642610124
"Rv0049" 0.006135255686743 0.0061626086538542 0.0494362215459245 0.00984680635606431 0.0944362348043431 0.121769251100809 0.0934924182645007 0.0572455845174737 0.0962195815264398 0.109209386434579 0.0933202042164603 0.0980992751327123 0.0963383658123144 0.105732811045711 0.0935501422859106 0.0989458614791101 0.129180210609454 0.152072934366551 0.128730357600331 0.0609042177995061
"Rv0050" 0.00613846478936713 0.00860889612880865 0.00545100595861513 0.00928409553468522 0.105742543644379 0.117873421844183 0.107436784175481 0.0815269874407161 0.109064809704375 0.114192829384848 0.110271834467645 0.109647577888909 0.109491317949185 0.113769980558249 0.109273839239034 0.109903957725151 0.142853293748401 0.158975515307058 0.147308943773008 0.0192254584296536
"Rv0051" 0.00613204188161602 0.0060125547507026 0.00503643352359094 0.00634343599396166 0.0901315026800617 0.14623941662699 0.0926723335112014 0.0433034039787621 0.0866934284434234 0.120807107679978 0.089044674411183 0.0909914167479016 0.0903600007323327 0.122620454514964 0.0897139697423038 0.0919060089320284 0.119335002137633 0.169266933528522 0.122168241152071 0.0145141078528155
"Rv0052" 0.006138138769686 0.00672798255488493 0.00554165264602918 0.00635374707590893 0.114699885015256 0.209783145810584 0.129313641639816 0.0637338826519528 0.110794552135825 0.173423950747446 0.119551213882012 0.119027739966928 0.116115624528446 0.173839025668236 0.121497203248387 0.121487057295113 0.147781905812641 0.227224786233146 0.160867743684468 0.0296363477580668
"Rv0053" 0.00614359206361136 0.00708218727990018 0.00617632089857132 0.00893904349390059 0.1460111214675 0.172710019306995 0.147669887170178 0.0733186393875401 0.156608919947296 0.161809358841651 0.153449735795876 0.158659870452808 0.158023456628777 0.172574414390667 0.154000543326625 0.159414595408727 0.193892719462428 0.220717180435864 0.19861145199322 0.0326795542786041
"Rv0054" 0.00614075819535156 0.00755263170476117 0.0057487809317593 0.0111776591737308 0.121820127032102 0.146090403059529 0.127548383318767 0.0376829231235689 0.125093166821602 0.133122990349824 0.126005482465411 0.127709367639048 0.125613746888733 0.141700775088767 0.124490943952132 0.127725336756791 0.163476048514823 0.172326700588774 0.181950833601869 0.029720277407846
"Rv0055" 0.00614096555304295 0.00639432861219328 0.0153770755163015 0.00796927072373045 0.128448233498221 0.20698547343198 0.136811540807947 0.0457731022465716 0.128022917911596 0.172370536577006 0.13375077640588 0.134590728347856 0.135208240633719 0.199548652971213 0.12562832634376 0.134705625558277 0.167177202739611 0.220192945202732 0.186766677008142 0.0288464226475792
"Rv0056" 0.00613952694086873 0.00737232015235177 0.00579308130361115 0.00673206730888181 0.114206410034397 0.155436044091843 0.121225723900299 0.0394317686570893 0.117238449397412 0.138506885620918 0.118867171851127 0.118175632195003 0.118677831888299 0.149224687862259 0.115093339110413 0.1185539405029 0.15170834603083 0.180583636940443 0.169524386604952 0.0195300546961865
"Rv0057" 0.00613623569323373 0.00609955127534594 0.0055164680394235 0.00620587603614989 0.1041250953866 0.177118783428357 0.109552404552809 0.0345659958524132 0.100998116101697 0.146352144194402 0.106883515555649 0.109027657006786 0.105227582268577 0.163476043851858 0.100486751223033 0.109310171541299 0.136238187196971 0.188316371488499 0.149757420164323 0.0174447780033131
"Rv0058" 0.0061453095322185 0.00701250810510449 0.00754290143193685 0.0110722133208581 0.183200406407701 0.213921207019251 0.208744909537475 0.0960998025293547 0.201915853908604 0.209322341578332 0.202782710113077 0.199165675120758 0.201187566998838 0.206824898487885 0.19963996211402 0.199597954949394 0.237367055927679 0.282256500940227 0.303328713842042 0.0492983732977433
"Rv0059" 0.00614530436162175 0.00782474370103225 0.0082179461439848 0.0161411092180788 0.18412812886274 0.276807427289128 0.214765118874901 0.0912674522894184 0.203597889500044 0.254081732144841 0.210605790395694 0.202697895664354 0.20486462175867 0.243881331335247 0.205713618611323 0.204214030669515 0.233178106321064 0.313419318454903 0.278722399858928 0.0364865933380742
"Rv0060" 0.00614036066670411 0.00647786351629744 0.00673924824911175 0.00701971353813067 0.121520487667339 0.137645223219083 0.125091217149769 0.049906415865187 0.121566788158422 0.13168801890301 0.124557101933001 0.122979712575031 0.120252219131989 0.129219285859407 0.122656868283732 0.123232634047615 0.168103425410602 0.181124118396365 0.174484256791751 0.0264355757044819
"Rv0061c" 0.0061419510550569 0.00682444282843387 0.00604837170587165 0.00779333544336365 0.127398573591079 0.144963179750991 0.130981645314803 0.0448350583030851 0.13514531954181 0.139133846836496 0.133734278249932 0.13579843476934 0.135989440708128 0.141633530112077 0.134838880373846 0.135940393477746 0.170982187160247 0.191846847101178 0.17786443772469 0.0266149663832552
"Rv0062" 0.00614379661908547 0.00819501560223133 0.0329442031733837 0.011465230381823 0.166769621352962 0.229370928007059 0.167179233606285 0.0880325336650102 0.162188277023486 0.208966854834372 0.167784066615461 0.180041272856609 0.168090893928042 0.213618585504513 0.169365261194792 0.185065839374805 0.221813759510211 0.272834119731319 0.214812535132681 0.0802779294970403
"Rv0063" 0.00614161643117775 0.00640967040290836 0.00765047191086983 0.010158798109474 0.133261818877451 0.18515285345068 0.151518620838912 0.0621939038485761 0.134236437497203 0.166306682868651 0.143283757987448 0.134542559827727 0.138489037948345 0.174628891572358 0.147605410294747 0.135290816916611 0.172634293183173 0.217182514659918 0.190036418099577 0.0217949786352948
