"C1_Fe_YES_3" "C1_Fe_NO_3" "C1_Fe_YES_4" "C1_Fe_NO_4" "C2_Fe_YES_3" "C2_Fe_YES_4" "C2_Fe_NO_3" "C2_Fe_NO_4" "C5_Fe_YES_1" "C5_Fe_YES_2" "C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_YES_1" "C6_Fe_YES_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C7_Fe_YES_1" "C7_Fe_YES_2" "C7_Fe_NO_1" "C7_Fe_NO_2" "C8_Fe_YES_3" "C8_Fe_YES_4" "C8_Fe_NO_3" "C8_Fe_NO_4" "C11_Fe_NO_3" "C11_Fe_NO_4" "C11_Fe_YES_3" "C11_Fe_YES_4" "C12_Fe_YES_1" "C12_Fe_YES_2" "C12_Fe_NO_1" "C12_Fe_NO_2"
"Rv0001" 6493.98404305469 6677.98920583911 6258.00942666578 6239.00053592346 7297.02231855421 7736.96157262708 4479.00236214387 4500.98931195229 10542.0209840802 8093.0041162803 10360.97079407 10385.0014126958 1266.00509242637 1000.99667658021 796.998805668519 672.999972258485 11393.9873099592 11154.9929805342 12090.0088154845 11088.0112274061 2797.00116615516 1609.99421939644 2568.99728812324 2674.01054477484 9434.03370447219 10269.985122539 10275.9877177001 10860.0099716868 4170.00871121093 5194.99325587777 4372.99717543345 5875.00934504058
"Rv0002" 2190.99531140611 2467.99914985665 2259.99657108626 2359.9935978571 2987.99477058017 2887.99753621746 1341.0021829084 1306.99869675311 4397.01272632719 3221.99953569805 4191.9978086288 3985.99842537457 292.00098453762 292.998863367584 199.999224018246 183.000146555564 5198.98988848072 5665.01557866263 4912.00548626558 5590.98635064596 834.998603272806 361.998468689564 809.997348085938 776.000486666929 2560.00798492307 2933.99137769343 2714.00697241931 2798.99830408634 1683.00274784943 1738.00017011482 1482.99835255957 1889.00004472056
"Rv0003" 2095.00215064694 2602.00150815389 2123.00262866098 2218.00403718958 1082.99794486494 1237.00291363528 467.000465823575 508.000787649752 2945.99433784198 2334.00162477861 2884.00116163695 3265.9993618323 87.9997524405716 88.0004395049162 65.0000091608535 49.0000874819991 2424.99979598275 2577.00003849642 2600.99779375242 2491.00181733114 369.999898021821 151.999733936738 207.000747443116 213.00002302111 2676.99853546971 2676.00060395498 2502.99583037568 2338.99972006776 351.000287401177 453.999071912835 355.999828419561 453.000295049984
"Rv0004" 1695.99981047208 2046.01019152423 1544.00215091862 1759.00746447962 835.998757732552 861.00181005992 366.000597036187 353.001075413209 2447.98979226347 1837.00493942836 2345.99201099498 2689.99738608464 45.0001468534465 68.0001591437407 39.9998324423848 42.9999384621557 2125.00242236278 2160.99413988587 2381.00767821947 2233.0054114908 260.000272609521 121.999887987208 153.00020162133 152.000056382917 2120.99030315473 2126.00013510033 1747.99978614359 1709.99583138986 217.000280284969 240.9995199643 197.999616547599 236.000424905142
"Rv0005" 77514.8824784174 91107.2759869705 78680.9874141424 80439.7501727553 58271.9659551107 59268.9493927472 34830.0374178296 30764.9668774433 67482.0310993747 48483.0144325649 64297.9976558177 62712.0399675892 7409.01312088244 6576.98257350074 4143.98696841412 3515.99465365253 47471.9698828976 41989.0260005226 53772.0499650995 42670.9885852026 32500.0034502896 20443.8860688389 21124.0787275038 23524.1003393688 90433.0244222506 84514.823425717 87792.8696365543 92289.9759114529 26905.0217362582 27591.9636099643 23008.914278917 25151.943279531
"Rv0006" 65650.9966692981 80785.0468445711 67038.9474263567 67865.9321413142 31532.9930537559 33835.9368986292 14286.9716271161 14194.054310188 60520.0074121218 46931.9922438281 52818.0212200489 58602.0478405036 2660.01116449037 2670.99736697136 1626.99871709441 1395.00029364951 45054.0139866598 40782.0503079469 48867.0423803962 41214.9636561399 16932.9743973914 9724.9760044185 9667.99918142343 10902.0161964151 75560.09228803 68230.9357876856 73361.0896433454 74898.99296846 17317.0159195146 17928.9772362564 13771.0088068244 16548.0100962915
"Rv0007" 12646.0024701051 15300.0011522382 11590.0170010184 11477.011691786 3410.00074531338 4368.01238972016 1575.99875148224 1818.0014381839 10182.0003320446 8351.01271469548 8212.98580292379 11511.0095402605 243.000146410803 338.000643692302 148.000188108372 172.000136994318 11723.0044780787 11616.0097903215 11745.9982061395 10277.9983178874 2589.99740286896 1441.00161924214 1331.00383888639 1681.00060373068 15325.0068387236 14104.9905283613 13613.9948812169 12838.0119027163 2192.00399243708 2376.99723417384 1842.00277249378 2175.00443322642
"Rv0008c" 376.999846018224 373.999500208033 360.000847988979 328.000864283534 415.999251443742 604.000465176809 292.999574329699 241.000074684205 514.999474866434 433.000110964771 419.999803419636 593.000841419753 81.0000775925924 106.000115788224 63.9999584984023 67.00006371509 775.000831961483 939.000356119207 790.99935089806 771.999682027403 467.998886166073 234.999641013956 343.001806071274 463.999325635737 457.999552653556 455.000509509801 434.999129711989 495.000662737853 109.000347366708 141.99959114459 91.9999867724282 127.000275736957
"Rv0009" 2726.01040621779 2262.00451376571 3840.0131268654 2553.00127733172 8043.00719619517 7544.0099337473 1777.99922567754 1725.000744922 12002.9767325541 8687.0156387857 10913.9932899097 10512.0083506167 771.999295377481 674.000310891942 171.000011665621 162.000449510087 14594.0218404364 16292.0002244244 13674.9622694343 14676.0261645292 3457.00911686375 2564.99858003584 773.001290033243 801.998805574594 4393.98549401048 4960.00788866241 4672.98891286358 4955.99747383057 2415.00143950702 2374.99710448858 946.998097144997 1187.00121272744
"Rv0010c" 2724.00435379103 3200.00772234224 2903.00184343689 2836.00652433007 3204.9986646241 3009.00720915739 1187.99892486033 1029.0008807056 5674.00217645861 3843.0039702936 5592.99800127309 5347.99971686679 471.999296290483 405.000775278956 161.000130252422 137.000252970249 5840.00475644011 6116.00309800419 5875.99459877395 5850.00450670372 1848.99464210612 1203.9968810146 558.999684438998 679.001142359352 3917.00465696344 4194.99936805195 3888.0055871147 4283.00260487675 1102.00047646333 1072.99809984328 663.998883686161 701.000557828382
