"C1_Fe_YES_3" "C1_Fe_NO_3" "C1_Fe_YES_4" "C1_Fe_NO_4" "C2_Fe_YES_3" "C2_Fe_YES_4" "C2_Fe_NO_3" "C2_Fe_NO_4" "C5_Fe_YES_1" "C5_Fe_YES_2" "C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_YES_1" "C6_Fe_YES_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C7_Fe_YES_1" "C7_Fe_YES_2" "C7_Fe_NO_1" "C7_Fe_NO_2" "C8_Fe_YES_3" "C8_Fe_YES_4" "C8_Fe_NO_3" "C8_Fe_NO_4" "C11_Fe_NO_3" "C11_Fe_NO_4" "C11_Fe_YES_3" "C11_Fe_YES_4" "C12_Fe_YES_1" "C12_Fe_YES_2" "C12_Fe_NO_1" "C12_Fe_NO_2"
"Rv0011c" 2713.00026351005 2449.00099757509 2308.00851592443 2369.00243533547 2818.98719524554 2665.99517636544 1380.9994486277 1284.00921990906 3383.9828009411 2323.00156988509 3341.00376051488 3324.98981705361 352.999263389851 302.000542863934 208.00056635332 122.000737504717 3046.00097683528 2932.99884460541 3327.9988815826 3136.0030128258 908.002619000413 520.000596715666 638.002138368498 614.002454466454 3540.9824555516 3909.9920677522 3669.01059017323 3943.98208506938 2171.99302388419 1748.9981891075 2097.00693254346 1584.99762322103
"Rv0012" 2208.00933078472 2437.99883752341 1998.99990592129 1983.00226263553 2194.00147291368 2637.00405465554 1357.00176453827 1356.0010636572 3023.00308332936 1978.00064598288 2954.01197416855 3110.0003287224 630.001899785188 679.00042207175 296.999844142701 192.000237446043 3172.01278531222 3340.01542968811 3094.98364734322 3033.99655666671 2241.99866587341 1644.0002538347 745.999335052466 871.99953925659 2721.99364476241 2764.99372088772 2691.98673023677 2842.00610616926 619.99981768313 648.998608293378 494.999524136211 555.000886051781
"Rv0013" 3085.00903849344 3434.01021546638 3164.01164814507 3015.0150200879 1921.9976345844 2173.00302777624 1108.99993505903 965.001954274014 3255.9911040607 2466.00671382111 2973.00079288394 3132.00815589403 311.000148461179 349.000422208206 160.000078155454 125.00005854724 3966.005267925 3893.99422648482 4068.9934755655 3921.9969651195 1251.00083781569 946.998213686439 606.003050528936 674.999583158448 3923.00254479533 4038.00391877413 4084.00227197162 4234.99747006122 917.997189769529 963.998708165459 712.000308196557 878.002156026602
"Rv0014c" 14479.0146420141 17476.0119418342 15085.9922960335 14648.0004875458 3443.00135458747 3518.99744762027 1486.99490608606 1567.00210639049 13801.0318519399 10309.01768579 12442.0229962274 13204.9961789139 453.001035369716 532.998495229389 245.000192030108 155.000563153346 13871.019435965 12538.9879624628 13719.0068513514 12466.0010568822 1899.99502874493 1229.99586540667 728.000689898302 823.0019679831 15774.0059900886 14044.9882857395 15682.0291345462 16994.9860313302 1095.00090031732 1353.99908397444 972.999231902682 1239.00032566296
"Rv0015c" 13894.9688158852 16679.979498496 14080.95629213 13392.9843452856 2588.99850649942 2974.99473071708 1163.99882647567 1195.99934290089 10774.0124386596 10609.0071497031 8522.01970737543 12666.9954877498 505.002107811076 684.997695464006 166.999091072224 199.999718459952 15914.9646155217 12780.0006905834 14340.0011804876 12148.9968476142 2220.00361036671 1361.99589183417 1041.00309773358 1009.00228445982 15027.0251917004 12549.985635774 15770.0504158762 15898.9814423839 688.000965505523 761.999489236723 595.00020056435 791.000396151486
"Rv0016c" 12989.9789936746 15452.9982562179 12674.9985591153 12509.9942369681 2842.99872107379 3077.99423256817 1479.99675607679 1461.99936698112 9917.00888600162 8350.00730324535 9233.99240606767 10974.9857824559 403.001444205635 472.998247967175 240.999381141283 198.000042210604 10600.9720983627 9520.9917970357 10833.9984906432 9476.97565215431 1764.00082250276 1172.99333257063 828.999608530716 926.003130479185 14248.0295503651 13032.9574377966 14515.9936486619 15761.0262524882 1211.00245472181 1263.9961501895 1034.99986530521 1324.00512990128
"Rv0017c" 9089.96890604541 10510.9762324051 9264.99662450563 9238.95802642576 2834.99528528041 3035.99763048882 1366.00010528776 1375.99896253721 8574.04479751765 5900.99804881432 8232.97381378698 8023.98429958163 340.001416663051 418.998425250153 173.999933805616 137.00012519543 8097.96613119173 7313.01700899035 7999.03230984006 7387.97644232078 1629.99751513808 1238.99229318042 605.000058050656 647.002464144057 9299.02860619555 9269.95995374004 10061.0232081422 10876.9952719782 1169.00197421216 1325.998730197 946.999902168434 1137.0005983478
"Rv0018c" 17484.9763737079 20390.9819689822 17294.9516020337 16302.9668669947 4357.99870334931 5026.99509787901 2054.9975749256 2078.99769111892 12066.9964807703 9965.98839866648 10287.0171279892 13316.0200932319 972.002634801224 1284.99384917774 276.999607917181 312.999594983287 13727.9581358956 11790.9706410313 13277.0224928617 10946.9619264233 4909.99832430918 3584.98369609652 1332.00021055856 1640.00462833967 17413.0333531535 15979.9524999168 17883.0490261013 18489.0133271416 1413.99781734093 1426.9947126834 1002.99980228856 1186.00097342011
"Rv0019c" 7283.01018067706 8417.01047226324 7086.02249273075 6847.00433295284 2065.99964829812 2506.99774410193 930.001063968636 1008.00205472015 6376.99923953248 5295.00147819182 5454.99539230012 7321.99368459755 600.999934310849 863.998810679943 186.999918391704 213.000555962015 4982.00266180558 4730.00269138178 4887.98355881108 4154.00116333163 2335.99669086576 1946.99814357977 660.001456135668 778.99897322161 7745.98133251523 7147.00236763862 7461.00560017423 7476.98563909619 600.999645893443 600.9987823618 535.999395489745 633.001704151828
"Rv0020c" 46386.96566419 51337.970330035 43023.9564666937 41599.9189597676 21787.9764302688 25415.9672114321 11502.0369192472 10968.9649469954 30796.0582520719 31998.0168836307 26554.9971518813 38424.0053504154 3487.01051520951 4504.98414250154 1276.99741159717 1384.0049769444 47439.9467067576 45552.9675775309 46093.0402173097 44564.9783233721 16064.9830347555 12226.9878437974 7733.99543446468 9052.02490595672 44017.0850277169 37680.9389222009 44072.0754024145 46243.0061622787 5326.00850169959 4923.99392000473 4332.99786751751 4881.99820143886
"Rv0021c" 1095.00056117115 1202.00122325266 1082.00117881357 1085.00289678824 1095.99922366104 1460.00099188613 786.001182663431 746.000021617603 1466.99923243583 1086.00108174304 1379.99927270829 1549.00152308424 273.000027157186 271.000468916752 239.000286686113 228.000238383432 1943.00175152254 2105.00216034556 1949.99909474263 2094.00125255889 1390.99981748402 915.998417255425 1358.00529581302 1825.99715109825 1250.99948641553 1396.99945906193 1324.99812075436 1410.00042925029 325.000645584624 359.99927107506 261.999652482308 406.00032823577
"Rv0022c" 122.00038429133 94.9997072620991 89.0001297296963 80.0001807723981 61.0000079462309 54.0000285540237 45.0000112725798 44.0001278248407 81.9999647071747 44.0000627895843 60.0000745906116 76.0000230146333 6.99999048754039 1.9999982723966 2.99999601084317 6.00002099260641 82.0000952015048 72.9998309429042 53.000020469134 69.9999107761823 29.9999971025873 18.9999478217931 126.000316462895 137.999879533667 90.9999853830578 83.0001027652588 75.0000065325893 98.0000925737956 57.0000077714562 53.9999368178283 43.0000416515338 48.0000690084867
"Rv0023" 3610.99800733134 4055.00140874506 2954.00517983286 2832.00237528772 326.000807244247 411.999125137247 221.000254162779 200.000193026937 2054.99672390868 1813.00033121914 1702.99996713085 2565.999193382 82.0000220846206 99.0003403912811 18.0000249496112 32.0000672220012 1449.00048990163 1356.00171890871 1499.99883173269 1304.9987814431 292.999874126798 240.999683726487 128.000294063613 167.999917640801 2598.99898255603 2556.99966332253 2663.99049743638 2536.00082668467 79.9997461645134 64.000002822537 45.9999892606417 57.9998625525127
"Rv0024" 3978.99090926021 4690.01496808882 3545.99058545423 3223.00590411512 501.000934510965 630.000127066207 344.000003408681 350.000319162377 2331.99759040928 2035.99986423087 2116.99917710068 2931.99829533662 131.000130270481 168.999981365419 87.9999441313228 76.9998510989168 2416.00267378921 2274.99946845805 2349.99831041127 2123.00122808609 553.002228434012 429.999942202922 196.000206683833 212.999712735135 3139.99831860313 3244.01207811934 3351.00840051488 3189.00337254859 79.9996517335499 86.9996661102277 82.9996176091937 90.0001103846866
"Rv0025" 1431.9997580371 1494.00002597962 1181.99666197828 1186.99720702515 415.000579763611 664.999282358881 285.999398169434 268.000286832183 1122.00167981132 736.999223926584 1064.99917495969 1055.99993966436 81.9997979703884 106.99974689844 58.0000859604602 54.0000949331601 842.999166748107 866.0020871862 845.995817608013 858.996389372596 380.000968272335 259.000354284264 181.000727689171 189.999817890632 1122.99974347279 1115.00167619918 1128.00337494569 1159.99764607939 123.000467325157 111.999915336656 139.00036473707 152.000197347941
"Rv0026" 3572.99397283471 4300.99588075906 3252.99302230872 3256.99145495754 1507.00016235806 1516.00083874755 1001.00034845302 915.997221905533 2470.00616524972 1896.00235667376 2394.00039312035 2666.99674499823 313.000796541398 318.998868207263 190.999282336219 193.000271538948 2070.99810029724 2158.99990966576 2290.00390768577 2140.9967556515 1295.00110985008 843.996783130342 821.999501285776 843.002944318861 3220.00556818566 3063.99309670844 3137.00331248278 3305.00217419729 483.00085449337 585.000024157599 518.999846374597 628.000857622268
"Rv0027" 605.000812979262 692.001539501113 560.999561229581 672.002581707497 509.001259558387 577.999216627348 437.998744659221 424.999663800733 623.000667757171 520.998680559628 666.004552941679 674.999144121691 75.9997867535606 63.0000881326459 58.9998818970245 39.0000326706535 499.000493856515 581.001530530118 571.999093359372 562.001384663005 303.00037428288 215.999887747841 230.000883307753 244.998882559244 737.998781564623 692.001318503967 629.002942361131 712.000798965615 379.000038899151 364.000305962382 369.999766140023 389.998656203293
"Rv0028" 658.004511079298 796.001890932902 747.004798759805 709.00462082668 785.001353842806 825.000635778529 605.000011310203 556.998652495702 772.998286074882 584.002243051011 799.000271040291 778.999620764313 93.9999397785219 95.9997334283252 77.9998408399276 53.0000855201145 643.004360302938 667.999588917957 723.004461340322 687.99874300151 447.000645310499 331.000502764459 206.000637116219 223.999217274058 692.994871319219 806.99822055594 752.999379923582 806.002785778685 452.000507191535 402.999885152591 425.998567514087 423.001283621643
"Rv0029" 1511.0004199231 1579.00262945907 1625.00262261137 1494.00150989172 1449.99884909348 1632.00210632027 896.000832117024 845.999075843437 2010.99734304275 1506.99940039027 1709.99981843459 2122.99958771693 291.999968264085 316.000571219881 123.999622348558 145.999897358942 2584.00295250851 2776.99959121851 2700.996944739 2643.00103130876 1736.99958446342 1036.99778595115 807.999412771533 949.998942976864 1622.99761294705 1856.00111134043 1663.99730644754 1682.99974693016 801.00091751038 798.998810202483 743.999189955693 882.999850473652
"Rv0030" 174.000646559661 219.99963473334 203.999843680209 224.999817437761 343.000505359752 377.999661044456 166.999390564158 198.001001742865 269.000116520488 191.999810232438 268.000048044546 282.000506557449 61.000098258143 63.0000603164873 49.0000310356107 44.000187908167 318.999732362835 340.00005197702 328.999923384968 350.999513562154 274.000001529692 190.9999273504 157.001267972737 175.999491787287 238.000351117531 252.000727412065 229.000273934217 207.999258671531 137.999862783903 162.000672551916 99.000025954175 155.999200694708
"Rv0032" 677.000102591269 682.00032966169 695.999707900397 655.999902121972 395.999629733299 428.999917901384 224.999684286798 255.000134698927 918.000967591118 729.000208478737 773.999943026193 902.000423393668 43.0000031756482 37.0000035207641 37.9998937511017 40.0000683335159 1179.00108314728 1399.00008788438 1152.00001130943 1329.99551853684 248.999525106746 134.999595697689 198.000259550159 223.000540246954 745.000886241144 743.999178965846 649.000551428189 703.999801130702 115.000124424856 127.999963357605 128.999942026688 168.000232879996
"Rv0033" 6.99999375161063 30.0000234525926 12.0000246507593 12.0000287240686 19.0000040537182 9.99998212973765 4.00000267511384 15.0000111690141 38.9999545412272 26.9999903270803 35.9999988212437 31.0000004957234 0.999997503064672 0 2.9999982170114 0.999997901957221 17.0000137035918 37.0000161142956 33.999979170755 24.000012962847 4.00000727078707 7.00001188909037 3.0000028986438 6.99998390943883 14.9999862219342 13.0000244070563 22.9999782406683 15.9999934996806 9.00000295038854 2.99999818602274 2.99999664843671 4.00000156675336
"Rv0034" 37.0000166805348 40.9999745425011 46.0000659557553 42.000000106726 50.999977025172 61.0001099713981 26.9999648817651 29.0000389860669 135.999969070381 53.9999514243372 104.000373415598 113.000005970582 7.00000537596799 5.00000245083247 4.00000718460314 4.99999973478409 132.999858935157 209.999787571151 133.999831761699 205.000205878119 28.9999924738956 17.9999411139511 30.00006099006 21.999978161988 58.0000891185271 51.0001329463961 59.0000101449394 51.9999707273746 11.0000079256532 13.999995607117 11.9999997827405 12.0000247844237
"Rv0035" 1226.99727427176 1523.99979727083 1373.99988800018 1384.99626899509 870.999332478269 965.002366434842 448.000165504731 499.99979812087 1764.00515379835 1244.00018109583 1655.00170264449 1718.00312495413 92.0002138045731 88.9997402195095 39.9999649534059 56.0000807959433 2121.99906264018 2970.00188777345 2270.99868674737 2901.99605381308 453.999717621403 306.999116342293 323.000481116227 410.001057737029 1362.99940956266 1308.99982213298 1387.00115497212 1366.99785225373 320.000311898201 322.999671622534 243.999784685821 292.99954770281
"Rv0036c" 2487.99730623157 2724.00808425138 2645.99409672022 2565.0080430213 1530.00153194613 1863.00244169273 824.001604773394 848.000319305972 3308.98668548157 2566.01171170582 2839.98798740144 3733.98950380606 178.999902438727 198.000083103241 124.000292461537 85.0003580082676 4226.00336595754 4477.99876452509 4119.0055238678 4113.00899096293 1109.00020979059 686.997440005639 556.000456358104 686.999878373085 2690.00285844752 2727.9974079928 2660.98935350958 2770.99261148214 634.000403345789 495.999182779604 515.999498385552 586.999864919946
"Rv0037c" 1558.99943249253 1825.99647123188 1985.99500961616 2042.99411439202 1984.99710557632 2324.99855718358 1437.00030763104 1317.0003486366 3373.00609665565 2670.00033277576 3036.00221446524 3641.00062432651 351.00138702596 490.998067988608 156.000065664701 179.000315406133 3945.99029633337 3885.99801859827 4043.00503934049 3727.99431831981 2366.99676282643 1752.99644539197 1363.0013371629 1617.0020326758 2231.00637845835 2310.99497560526 1997.0038657605 2169.00078169111 901.001901018364 766.999705610308 762.999702185897 764.000158521659
"Rv0038" 4077.00268186126 4339.0020958993 3534.00551441186 4090.00240486953 3224.00136833089 3562.00881802119 2247.00139400498 2231.00253225108 4407.98449865418 3406.00591368055 4163.99907029701 4962.00241316912 571.000182130154 631.000983941432 575.998441393436 494.000848422555 3020.99493047497 3065.00101716018 3164.99913941966 2968.00761739293 2531.00186119536 1886.99884719998 1886.00441092555 2222.99743123906 4176.98757679279 4486.00947605506 3961.99428161769 3651.00118063121 1023.00305191964 974.999336244949 916.997299481694 896.999683882627
"Rv0039c" 748.005054173544 755.000580893305 613.99766980521 544.002028707227 451.999290149587 743.999221928963 304.000056760373 315.000526982503 982.994887892178 585.001635101201 639.001462495604 1189.00156284957 68.0000891287618 92.0000520787579 56.9999383090906 88.0000299523632 1866.99957225779 2098.99713637457 1439.99468601974 1700.99721115225 535.999764856761 278.999539982171 416.001334027017 614.998363501474 1179.00008645205 1266.00006443154 1257.00532301126 1201.00250620821 139.999722891005 154.999474344737 133.000017935727 164.000601677526
"Rv0040c" 5292.00716805737 4417.01780900008 4595.01472203055 4188.00492517837 1590.00085068262 2408.00458190095 919.998832996072 1004.00068210832 5729.98063946711 4609.99655863215 4584.98280970163 5952.9918443836 162.999880014673 191.99992610434 126.999816941296 122.000383146259 10795.0137855009 9299.99040884074 9303.99254725957 8896.01596046782 665.99984053158 384.000092658874 706.998645651403 768.000270034573 6112.98288490012 5334.0072515237 7062.99748700216 6902.01053231646 897.000772048694 970.995457124725 559.999489682524 1007.0006208571
"Rv0041" 4605.99877293794 5207.00151396651 5465.99734602652 5317.99332885931 4640.99207843726 4618.99908344248 2539.00007383135 2416.99395976454 8413.99966392567 6366.99812675084 7691.00126597109 7824.99334105177 561.001254150619 580.999490847433 372.999746375186 310.000381350829 9126.99741391632 9937.00265046402 9366.9995797474 9908.99560952269 2450.99864724389 1569.99622288189 1246.00046533145 1429.00137099396 5789.00577266979 6293.99844158651 6126.00499656705 6226.9934786701 1497.00054506443 1677.99863233215 1434.00042571964 1674.00246465135
"Rv0042c" 2595.9943032546 2739.99815757126 2497.00343742523 2673.00428303861 861.99879659944 1065.00211810396 465.000423516987 451.000531221327 3364.99110771456 2306.99574017252 3271.9944363322 3260.99395764961 106.999895635435 89.9999598229832 72.9998599653419 44.0001558527362 3744.00760502219 3923.99215886248 3784.00715732723 3917.99393123279 364.99954039807 206.999704491091 291.000629247405 240.999754273021 3314.99885442293 3691.00251412199 3415.00240054372 3596.01013467783 504.999009079529 452.998042645633 495.997495297911 499.001039455962
"Rv0043c" 1198.00052795934 1347.0010374405 1308.00189036089 1332.00270243556 922.000770478203 959.002469462829 449.000072989162 412.000920784877 1838.99804319302 1389.00143606153 1693.00088028538 1706.00050120662 97.9999299827649 94.0002699169191 56.9999050904298 39.0000533969851 1838.00095023334 2129.00023830512 1977.99841058793 1937.99865063809 473.998950725692 280.999648637409 373.000746782 395.999792632192 1578.99751496071 1687.00076422389 1635.99780020526 1675.00084664815 466.999764067849 503.99927617974 382.999974513562 464.00048702886
"Rv0044c" 1190.00098346513 1341.00193237588 1026.00026803316 1254.00181548358 614.99921098707 692.000513185563 296.000169579925 302.000384613372 1829.99696958894 1355.00116822143 1674.00037129047 1822.99943237321 81.000095762112 86.0003353108793 51.0000003527223 31.0000462883498 1397.00093964479 1449.00060349113 1325.99937270994 1344.00124459514 440.000679612912 256.000012834773 332.000555380055 428.99949752477 1370.00043197839 1363.99955645243 1405.99810993655 1590.00002489463 398.999731752308 358.999553328474 295.999677985122 341.000270909588
"Rv0045c" 2151.00025652818 1891.00223830385 1635.00197805938 1490.00302922005 1048.99946449113 1348.00343302336 778.000696775585 798.002740836757 1886.9989755884 1505.00160563129 1724.00020675768 1928.99956653732 473.000339498766 598.998066957851 276.000167145121 275.000576844223 3505.01510360659 2725.0019354163 3091.99573701634 2723.00379109682 1940.99788485787 1201.99972929512 2324.00348738857 2581.99654051637 1527.99827957462 1541.00222572612 1649.99935700468 1553.99906240183 762.997706541487 919.996773466264 592.999469009608 1034.00165538156
"Rv0046c" 14626.9961008543 11973.0157631169 10789.01842993 9602.01724832156 18451.999812277 19388.0399430436 14245.9910514543 13694.0122726378 13034.973343337 9170.98819107344 12363.9857577103 11736.9777230769 7568.98916655394 6887.00827948039 6035.00212012342 5383.00906984433 22214.9994842529 16278.0104370251 19532.9950634871 15951.9991365593 27821.9892545299 17391.0175886037 32593.0832360345 35811.9990314584 10391.9953956514 10871.9890417612 12692.0069866528 12022.0154235512 17245.9722137707 18557.9361308241 16531.9517364499 20458.0256632449
"Rv0047c" 6502.0027793827 5228.99699847744 3877.00426459483 3404.00636010593 1981.99753601174 2513.00323036202 1495.99873239271 1561.00020385641 2858.99079350927 2153.00633796428 2588.00079651985 2672.00024656716 2064.00184056961 1867.00432744292 1237.99926724089 1236.001578903 8416.00915568504 4364.00199596768 6704.97960631463 4165.00153361617 8034.00657528697 4698.99666415094 8090.99920156336 10171.987547338 3669.98743753486 3980.0002415403 4541.00375920747 4284.99717299603 2255.00168878472 2021.99756970294 1970.99783246401 2156.00499950003
"Rv0048c" 1754.00051347473 1791.00266516829 1494.00076059083 1536.0010401043 2144.00199823657 2432.00294168172 1560.00005714682 1515.00335612461 2230.99650938297 1801.00167125189 2053.99923683626 2359.99791811228 965.997886672775 950.998869377497 843.998261028093 777.998381197701 2723.00224448137 2647.0001520948 2680.99746319881 2675.00232693369 3384.00001519456 2008.00282492905 3188.00359991229 3649.9994913792 1550.99829600451 1882.00020639615 1793.99705062563 1676.00105170824 888.996780906551 940.000077804453 640.999233241493 936.997583733865
"Rv0049" 1890.99936818266 2099.99966300735 2142.00244806629 1859.99652990118 1712.99571246876 1813.99985707483 1145.00173296228 1217.00430444755 3605.98735921017 2673.0009217727 2775.99773333922 3873.00454562106 242.000423140631 290.999322700644 369.000553736204 333.000520139238 4542.98978519611 4760.00179384676 3805.00194348975 3599.99774679024 2296.99577272232 1407.99745807547 1553.00438551296 2166.99354355049 2979.99856335699 2880.99779539918 2796.99360441723 2566.00093843324 753.001636313561 754.999705324952 617.999147099336 704.999868482306
"Rv0050" 16148.9891694404 19164.9891606961 19959.0165244004 19326.0124596222 10429.0117398563 10785.9600623343 6130.00251816441 5478.99249462074 22352.0052001097 18558.0142141303 18860.0221430811 21045.0421601821 849.001299001417 852.998905843163 1080.99887920727 790.999745952136 26285.9516387365 23397.0419832976 25924.0196398165 23328.9438015702 8200.99918492406 5087.98878170889 6102.00253351112 6827.01862406487 18764.990518335 16821.9512455236 18297.0163373721 20277.0193567711 4208.01064777612 4324.00459008433 3298.99324769706 3914.00808311464
"Rv0051" 4455.99689466505 5206.00057558656 4948.99401449429 5070.99417195337 1624.00248500168 1959.00166398189 826.999856408021 850.998904559685 5873.01172801173 4289.99810073766 4968.00261940956 6036.99715889915 140.000495203035 129.999324767009 160.000185407934 95.0000685585381 6399.98924973885 5959.00211522661 6163.00315762524 5732.99221981631 1369.00422049792 756.997564839356 851.000417000612 977.00260600631 5426.01101899983 5255.99421913336 5389.00819641598 5747.99881116525 708.001510921068 792.999298653369 641.000212582199 711.00103456381
"Rv0052" 1269.00054305253 1476.99665779572 1484.99766695994 1385.00361918284 606.998572075652 711.001993766028 340.999946419057 402.00086762501 1644.99653586216 1273.00130217625 1678.9996834171 1845.00060884612 36.9998891567129 69.00024641909 60.0001205405639 45.0001435719031 1969.99362566456 1884.00738792648 2033.00234119368 1837.00875951103 389.999312347912 190.999918777354 229.000217759548 264.999805542974 1653.99677516875 1680.00181339507 1542.99712994175 1784.99795247674 275.000390197128 298.99956858882 210.999903412772 286.000434153836
