Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
19_01_AN_F2C12_2	3.5	25640410	7041812	25640410	3871701910	6393692	3682308116	4.891745242856261
19_01_ANmF1C11_1	3.5	24542403	16610221	24542403	3705902853	2263965	3108918046	16.109024728393223
19_01_ANmF1C11_2	3.5	24542403	16550703	24542403	3705902853	4705500	3109409637	16.095759647804236
19_01_ANmF1C12_1	3.5	26436403	6202991	26436403	3991896853	4261871	3832227924	3.999826019552715
19_01_ANmF1C12_2	3.5	26436403	6398794	26436403	3991896853	6189248	3827697338	4.1133205853402846
19_01_ANmF2C11_1	3.5	22234995	12663286	22234995	3357484245	2121663	2937591459	12.506172936635776
19_01_ANmF2C11_2	3.5	22234995	12499885	22234995	3357484245	13455923	2932102826	12.669647508651227
19_01_ANmF2C12_1	3.5	23639771	5984154	23639771	3569605421	4141153	3412399565	4.404012137452432
19_01_ANmF2C12_2	3.5	23639771	6157453	23639771	3569605421	5481950	3408523401	4.5126001616972555
19_10_AN_F1C8_1	3.5	29750787	5731488	29750787	4492368837	7364683	4345380870	3.27194788169171
19_10_AN_F1C8_2	3.5	29750787	5899868	29750787	4492368837	9145371	4339921326	3.3934771727649222
19_10_AN_F2C8_1	3.5	29000544	6455526	29000544	4379082144	4849532	4204666443	3.982928277309794
19_10_AN_F2C8_2	3.5	29000544	6577839	29000544	4379082144	8692445	4200025421	4.088909892803326
19_10_ANmF1C8_1	3.5	25574101	3737648	25574101	3861689251	4846061	3768598128	2.4106321598998077
19_10_ANmF1C8_2	3.5	25574101	3839922	25574101	3861689251	8594562	3763416559	2.544810978111506
19_10_ANmF2C8_1	3.5	28500181	5934278	28500181	4303527331	5289024	4146216118	3.6554017414232614
19_10_ANmF2C8_2	3.5	28500181	6075283	28500181	4303527331	6375221	4143052398	3.728916320434076
19_4_MMmAN_F1C5_1	3.5	25943449	7119253	25943449	3917460799	3475413	3726760209	4.867964219289179
19_4_MMmAN_F1C5_2	3.5	25943449	7186594	25943449	3917460799	2937976	3725435854	4.9017706839342905
19_4_MMmAN_F2C5_1	3.5	29933374	8204800	29933374	4519939474	4083564	4300430309	4.85646248722312
19_4_MMmAN_F2C5_2	3.5	29933374	8278245	29933374	4519939474	3139084	4299719722	4.87218364906804
19_4_MMmANmF1C5_1	3.5	28568819	8038354	28568819	4313891669	4112491	4098634396	4.989862739179508
19_4_MMmANmF1C5_2	3.5	28568819	8114008	28568819	4313891669	3234245	4097582700	5.01424202546427
19_4_MMmANmF2C5_1	3.5	22698369	5889448	22698369	3427453719	2954197	3276797044	4.395585975817519
19_4_MMmANmF2C5_2	3.5	22698369	5940357	22698369	3427453719	2747635	3275984443	4.419294567285738
1_1	3.5	28723207	4658604	28723207	4337204257	8753654	4220954550	2.6802912685603775
1_2	3.5	28723207	4751358	28723207	4337204257	6850713	4220330756	2.6946736670603615
23_4MMmADN_F1C2_1	3.5	20748213	4684325	20748213	3132980163	4861704	3014793180	3.7723501857997563
23_4MMmADN_F1C2_2	3.5	20748213	4777506	20748213	3132980163	3407171	3012803699	3.835851417741645
23_4MMmADN_F2C2_1	3.5	25730058	5180981	25730058	3885238758	3602828	3755929647	3.328215305526405
23_4MMmADN_F2C2_2	3.5	25730058	5275217	25730058	3885238758	4908140	3752551421	3.415165586073359
23_4MMmADNmF1C2_1	3.5	21913278	5718924	21913278	3308904978	4704518	3156935032	4.592756425778511
23_4MMmADNmF1C2_2	3.5	21913278	5795045	21913278	3308904978	3796614	3154754690	4.658649584225081
23_4MMmADNmF2C2_1	3.5	23919591	5029226	23919591	3611858241	6272668	3483159965	3.5632150381507737
23_4MMmADNmF2C2_2	3.5	23919591	5120069	23919591	3611858241	4277597	3482047326	3.5940202061767463
29_11_AN_F1C15_1	3.5	23189344	7804621	23189344	3501590944	1632214	3268343026	6.6611983447030525
29_11_AN_F1C15_2	3.5	23189344	7923973	23189344	3501590944	4936759	3264236670	6.778469495607651
29_11_AN_F2C15_1	3.5	29893975	12835552	29893975	4513990225	5216612	4125490245	8.606575571394819
29_11_AN_F2C15_2	3.5	29893975	13002265	29893975	4513990225	4339587	4122971122	8.662382581920633
29_11_ANmF1C15_1	3.5	24720775	9001149	24720775	3732837025	2290600	3471458548	7.002140067982207
29_11_ANmF1C15_2	3.5	24720775	9126019	24720775	3732837025	5952883	3466794613	7.127083508286837
29_11_ANmF2C15_1	3.5	21208240	6851352	21208240	3202444240	1465911	3008219829	6.064880336526953
29_11_ANmF2C15_2	3.5	21208240	6969172	21208240	3202444240	3948504	3004859014	6.169825645426382
2_1	3.5	29780434	5504084	29780434	4496845534	9360507	4354350617	3.168774998443164
2_2	3.5	29780434	5612588	29780434	4496845534	7751913	4353506240	3.1875520943788773
3_1	3.5	29835619	6076709	29835619	4505178469	11980993	4340696736	3.650948217296916
3_2	3.5	29835619	6177493	29835619	4505178469	8637106	4339260750	3.6828223374872926
4_1	3.5	29803769	5883662	29803769	4500369119	10569411	4335100362	3.6723378156306294
4_2	3.5	29803769	5995970	29803769	4500369119	8284600	4334181364	3.692758318387172
5_1	3.5	29923481	6248830	29923481	4518445631	9253413	4350407804	3.7189299312828226
5_2	3.5	29923481	6451192	29923481	4518445631	8233262	4347281407	3.788121800684781
6_1	3.5	22760097	5008724	22760097	3436774647	5692706	3306141422	3.8010413372326064
6_2	3.5	22760097	5106563	22760097	3436774647	13424780	3297741954	4.045441068455368
7_1	3.5	22767204	4819952	22767204	3437847804	5223696	3311014822	3.6893134667691645
7_2	3.5	22767204	4937921	22767204	3437847804	12842300	3302505204	3.9368409457372247
8_1	3.5	27644491	6458565	27644491	4174318141	11304741	4000950075	4.153206826695484
8_2	3.5	27644491	6601357	27644491	4174318141	8949165	3998358146	4.2152990993122295
8_4_MMmAN_F1C6_1	3.5	23532430	8138713	23532430	3553396930	3038451	3327999795	6.3431454307019965
8_4_MMmAN_F1C6_2	3.5	23532430	8322706	23532430	3553396930	2603176	3325432525	6.415393762384998
8_4_MMmAN_F2C6_1	3.5	24888581	9795608	24888581	3758175731	3051036	3480521202	7.388013463812132
8_4_MMmAN_F2C6_2	3.5	24888581	9933597	24888581	3758175731	2757149	3478363747	7.445420438749569
8_4_MMmANmF1C6_1	3.5	19931435	6388275	19931435	3009646685	3948834	2835839285	5.77501009890136
8_4_MMmANmF1C6_2	3.5	19931435	6502427	19931435	3009646685	2245728	2834266017	5.827284274732069
8_4_MMmANmF2C6_1	3.5	23385582	8373233	23385582	3531222882	1983626	3291797735	6.780233222333316
8_4_MMmANmF2C6_2	3.5	23385582	8490947	23385582	3531222882	2492930	3290126653	6.827556261853653
ANLCFA_F1C12R_1	3.5	26205177	6673692	26205177	3956981727	4361486	3776208757	4.568456022086655
ANLCFA_F1C12R_2	3.5	26205177	6785128	26205177	3956981727	12514604	3767742712	4.782408109412025
ANLCFA_F2C12R_1	3.5	24303939	6567376	24303939	3669894789	4060421	3486873295	4.9871046589286845
ANLCFA_F2C12R_2	3.5	24303939	6688155	24303939	3669894789	8168574	3481915538	5.122197278337289
ANLCFAmF1C12R_1	3.5	29672350	7695544	29672350	4480524850	6501607	4265543488	4.798128995981353
ANLCFAmF1C12R_2	3.5	29672350	7812610	29672350	4480524850	10945858	4260322723	4.914650278080703
ANLCFAmF2C12R_1	3.5	24163661	5670466	24163661	3648712811	5452566	3496101925	4.1825951754798165
ANLCFAmF2C12R_2	3.5	24163661	5759904	24163661	3648712811	10303490	3490613610	4.3330130155316295
