"Iron" "Dextrose" "Growth" "LCFA" "Glycerol" "Culture" "Sample_ID" "Original_ID" "setup" "Full_path" "short_setup" "color" "fill" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32"
"C12_Fe_YES_1" "YES" "NO" "STAT" "YES" "NO" "C12" "C12_Fe_YES_1" "19_01_ANmF1C12" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_ANmF1C12" "C12_Fe_YES" "#355f91" "#355f91" 21.1608767011219 54.7564907682941 -12.3104141341194 10.0352206576381 6.44408988059781 10.3050890807589 -1.99688208427892 -0.661873865856775 0.371885880619992 -0.047613576714946 2.89241175799565 4.36793511759472 6.6458482899543 5.23949287674335 10.0511533028025 1.82655439275316 -4.98176082138447 3.52025085032574 -7.21873489568482 -1.0634824632093 0.983043451492377 -1.03164938794858 0.0839619863366207 -0.704846662840911 -0.731492064412535 0.176261169036874 -0.113981187788146 0.156345022385769 0.154522610545743 0.216645876352708 0.146422741209464 -2.59935302449055e-14
"C12_Fe_YES_2" "YES" "NO" "STAT" "YES" "NO" "C12" "C12_Fe_YES_2" "19_01_ANmF2C12" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_ANmF2C12" "C12_Fe_YES" "#355f91" "#355f91" 21.1163851177823 53.0707509323059 -12.3944939781922 10.9949095431288 7.70957419892169 10.0408446137966 -1.43946722000205 -0.0562210349236535 -4.35200071713636 -5.14512046440413 5.3047357979789 0.925996390493185 1.1161742638507 13.332760905723 -6.17797725073635 -1.06904696175702 -0.394595772526986 -3.20583990868116 7.38348351978339 0.133855623429879 -0.512182102433329 0.597617515279603 -0.240365974305712 0.642264759148238 -0.281122826988758 -0.188553496468484 -0.0184167540654317 -0.288197547177454 -0.0744335251114751 -0.0814525439367817 -0.159496240947719 -5.58147278395538e-14
"C2_Fe_NO_3" "NO" "YES" "STAT" "NO" "YES" "C2" "C2_Fe_NO_3" "19_01_ADN_F1C2r" "Fe.NO_Dextrose.YES_Growth.STAT_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_ADN_F1C2r" "C2_Fe_NO" "#852121" "white" 40.7540675286958 6.40673861644727 -16.2358020195552 -12.2712396699117 -34.7340939197898 -19.1421654833802 -1.27695476753755 3.61189906048126 6.34012876549893 3.1494918904006 -10.6752547763754 -2.4871475583738 0.629781092320394 3.76789986648922 -0.570094437556834 0.829794166536665 2.25360412784411 -1.25220005315905 -0.338247413078091 -1.36381885263577 -0.419845080803486 -7.9654340789315 -3.03057564928838 1.00483039251163 -0.558361987345278 0.108991577208064 -0.480129915640496 0.201995792055763 0.306911792300215 0.146639674562921 -0.216029950638783 -3.31160879968317e-14
"C2_Fe_NO_4" "NO" "YES" "STAT" "NO" "YES" "C2" "C2_Fe_NO_4" "19_01_ADN_F2C2r" "Fe.NO_Dextrose.YES_Growth.STAT_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_ADN_F2C2r" "C2_Fe_NO" "#852121" "white" 37.9452153231103 5.50977053341393 -12.7301997311813 -10.9899206321361 -31.7111335333492 -19.4090386711404 -3.57644906270211 2.93150471464719 7.1784687974726 5.5437889871923 -9.31569697725192 -0.267510773759505 -1.16022011936632 2.6891011786015 1.09829553347634 -1.46321119418645 -4.28425271753505 0.993923840364584 0.882625091744068 1.04520293404377 0.867697417910285 8.19607182673665 2.95837137342398 -1.0773300945101 0.502669765627761 -0.36509318799027 0.539068129514142 -0.206773599554678 -0.300157609166839 -0.132928098032704 0.190281486118503 -3.7961170665235e-14
"C2_Fe_YES_3" "YES" "YES" "STAT" "NO" "YES" "C2" "C2_Fe_YES_3" "19_01_ADNmF1C2r" "Fe.YES_Dextrose.YES_Growth.STAT_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_ADNmF1C2r" "C2_Fe_YES" "#852121" "#852121" 18.0472222766982 15.9402518389317 1.9154152027002 -16.625530298388 -24.3602697172358 1.22021593494048 0.1562854132898 -14.0048583807348 -4.4233118774416 -5.46784125413254 14.9609408296845 1.15764999646263 1.95294462151848 -3.6115540693517 -1.1178992909359 0.187131721986794 2.70142315165119 -1.41079522139764 -0.215934999417442 -1.68815980140695 -1.55583791855444 -0.939625911541334 2.27882760419561 -4.01716290089148 4.7374363907918 2.12643984655278 0.37856638285363 1.24286884169791 0.391763700712637 0.42969731528284 0.206189248004912 -2.98504168431968e-14
"C2_Fe_YES_4" "YES" "YES" "STAT" "NO" "YES" "C2" "C2_Fe_YES_4" "19_01_ADNmF2C2r" "Fe.YES_Dextrose.YES_Growth.STAT_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_ADNmF2C2r" "C2_Fe_YES" "#852121" "#852121" 16.1766933852668 9.68767971649246 5.47114825695614 -14.9719867640185 -21.724148448058 1.61259768423417 -4.77162522694222 -13.9139334954597 -3.35646616467767 -3.30520019583051 14.1417570828809 5.29560037424508 -2.57278891541277 -4.98129466703269 0.688329803496619 -1.57487390673206 0.0294669039365313 0.632337367420556 0.145028054055113 1.78661829664503 2.08793796332774 1.04565702231463 -1.81906808049035 4.66796628160553 -4.73530619201342 -1.57290303651924 -0.263465618513791 -1.25166254912258 -0.2859196340969 -0.481104586649288 -0.199578681989398 -2.56146015856218e-14
"C5_Fe_NO_1" "NO" "NO" "EXP" "NO" "YES" "C5" "C5_Fe_NO_1" "19_4_MMmAN_F1C5" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/19_4_MMmAN_F1C5" "C5_Fe_NO" "#ffc499" "white" -33.3298771543866 9.421730857688 5.99462954125301 -8.57257881729039 4.71042694733303 -8.00641505435669 25.331894015771 -5.02138609131075 1.00404205046131 0.0889584252755874 0.374985966704886 -5.97714289912913 0.456887783088743 0.908692933030603 -5.31515061468673 5.60967411073061 -0.99810809293661 3.66685318717376 -0.931568689881483 -1.22117744779798 3.87454539032404 0.00469368789631583 0.854199814417571 0.229512564331615 -0.610441399749252 1.16621824000356 -0.883296567890555 0.477543935294926 -0.313809662874311 -4.02762593021057 0.833267550266205 -4.11083927315259e-14
"C5_Fe_NO_2" "NO" "NO" "EXP" "NO" "YES" "C5" "C5_Fe_NO_2" "19_4_MMmAN_F2C5" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/19_4_MMmAN_F2C5" "C5_Fe_NO" "#ffc499" "white" -37.2340171650009 0.396654916746977 10.027568067064 -5.6077074289262 8.15679458021355 -4.34892107940083 14.5388319416321 -2.0009437342709 4.56772930734938 8.51215629822015 -0.44998293128983 6.06657623433557 -3.50204355414237 0.635675051120635 1.09558292792325 -3.60489732138228 -1.9478770158855 -2.90817906707453 0.287046684667138 1.24871012448572 -1.53963246185784 -0.461381942073911 -0.100165984904755 0.197201646635293 -3.06252581917506 5.52064042468042 3.61098557114951 1.583565412924 1.15144994811207 1.2679976117688 0.158326120642322 -3.36913656695526e-14
"C5_Fe_YES_1" "YES" "NO" "EXP" "NO" "YES" "C5" "C5_Fe_YES_1" "19_4_MMmANmF1C5" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/19_4_MMmANmF1C5" "C5_Fe_YES" "#ffc499" "#ffc499" -35.6520332203778 7.09419154156506 12.2895556199098 -8.1475367299654 5.25470663861921 -7.08560610892914 20.7301093718209 -4.1943222560556 1.3146730460249 4.10663005423016 0.732574179350941 -1.81882716456785 1.01801229013838 0.976695212110235 -0.535692372039125 1.35301828219331 -0.319158827431856 2.49931678208379 0.198643406954825 1.06946814866542 1.01227118247323 0.728731515773561 -0.748995066694706 3.22698991670086 3.60231617196872 -2.60946068552584 -1.15287628926624 0.318252810636886 0.187672281075993 4.63463830373204 -0.984570247911062 -3.43442722178233e-14
"C5_Fe_YES_2" "YES" "NO" "EXP" "NO" "YES" "C5" "C5_Fe_YES_2" "19_4_MMmANmF2C5" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/19_4_MMmANmF2C5" "C5_Fe_YES" "#ffc499" "#ffc499" -37.8831893949438 3.74806535548457 12.7706375036349 -6.51261826591011 4.96061687198808 -4.65821157238352 14.2871455972524 -1.43970467214621 1.5947902364468 9.54526877072272 0.40064083996551 4.59786603457084 2.3884077654266 1.09973657263335 3.82660647144969 -6.91873314420767 4.32960541013416 -1.30679860545956 0.244890809320348 0.546842034820614 -5.10462772376622 -0.574378479940199 0.41607734997544 -2.88091859629062 -0.621945087577142 -3.64925160385035 -1.33255168285816 -2.33696770950726 -1.10631450712812 -1.83353924408954 0.321503210478707 -4.73656487295915e-14
