"Iron" "Dextrose" "Growth" "LCFA" "Glycerol" "Culture" "Sample_ID" "Original_ID" "setup" "Full_path" "short_setup" "color" "fill" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32"
"C6_Fe_NO_1" "NO" "NO" "STAT" "NO" "YES" "C6" "C6_Fe_NO_1" "8_4_MMmAN_F1C6" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/8_4_MMmAN_F1C6" "C6_Fe_NO" "#8f4a17" "white" 68.5697101954574 -21.0911326088909 -18.7674000820602 -2.53202480203598 16.9370195518869 -28.2658681023738 12.3924215137071 17.2243690413316 -1.54189510228335 -22.1806707946502 3.4400991918483 7.33015210089419 -0.988872967926785 -2.07698266608561 1.56338816375758 -1.47469675932805 0.311506069486674 0.278802108981612 -0.113596982795173 -0.178796227433292 -0.380702654337002 0.15536625475564 -0.029321077884729 0.00510195766546757 0.0954637509160611 -0.126558217825644 0.0216998120085303 -0.0271598502957754 0.0296398976184851 0.0312352515157206 -0.0631534277597329 -1.44832063009304e-14
"C6_Fe_NO_2" "NO" "NO" "STAT" "NO" "YES" "C6" "C6_Fe_NO_2" "8_4_MMmAN_F2C6" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/8_4_MMmAN_F2C6" "C6_Fe_NO" "#8f4a17" "white" 65.4700815499452 -29.7087888802979 -7.17743607493366 4.05428430537719 23.2423080853779 -25.3874252555109 -13.1971719893056 3.91647407363356 1.07986659728114 19.5034915755995 17.0397209522096 -6.45911822910215 0.977918356649323 1.42550685384481 -0.362474054925693 1.76161061666033 0.51674689328724 0.0841341332410902 -0.0755669942811048 0.293329937161745 0.450140674007108 -0.385616891040315 0.176370749699851 0.0853499627826446 0.0252079221150175 0.264718348514785 -0.166699267280693 0.00151242211309564 -0.053851397733315 -0.0419372267348453 0.07810108719204 -9.25648446781224e-15
"C6_Fe_YES_1" "YES" "NO" "STAT" "NO" "YES" "C6" "C6_Fe_YES_1" "8_4_MMmANmF1C6" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/8_4_MMmANmF1C6" "C6_Fe_YES" "#8f4a17" "#8f4a17" 44.9668752261269 -8.12126696909049 -10.9560449514719 -31.0547734391245 22.0858034758114 7.15164776661439 -1.71615293111686 -16.480753825457 -9.42717619390045 -6.24522794554147 -8.53781478765075 -14.3420784048237 -6.38877763040946 1.34611417146991 6.45080774303832 -2.27846558166273 -1.09247705948473 -1.85846382117483 0.146681302762713 0.395397700675222 -1.04130245192181 -0.144456207171338 0.175902637859635 -0.0272199909880786 -0.14612315011361 -0.0533856225605714 -0.186271201482091 0.0993381014408858 0.0991082864016031 -0.0757723346763486 -0.0327105771421251 -2.27266122587721e-14
"C6_Fe_YES_2" "YES" "NO" "STAT" "NO" "YES" "C6" "C6_Fe_YES_2" "8_4_MMmANmF2C6" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/8_4_MMmANmF2C6" "C6_Fe_YES" "#8f4a17" "#8f4a17" 42.0787583331892 -14.4334535668551 -8.17258873529776 -33.1858997018101 21.7550732590636 8.29748939488084 -10.0023563231582 -7.90185303248002 -5.95952747097573 5.44337136264503 -12.4310284559041 13.1543918710395 7.65650724479301 -2.45958625149012 -7.22940905077423 0.99903438657743 0.308466628035959 2.23096780187045 0.0624525113062204 -0.268457665884516 0.84918001473422 -0.0724285554319648 -0.0656117788160239 -0.128912951123046 0.312637540130995 0.0729712908473017 0.156669438255742 -0.164085518312362 -0.0818689679438822 0.0845834458526457 0.0171325594702436 -2.20921371474336e-14
"C7_Fe_NO_1" "NO" "NO" "EXP" "YES" "YES" "C7" "C7_Fe_NO_1" "11_10_AN_F1C7" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00161701_C7_C8_Diciembre_2021/RawFASTQ/11_10_AN_F1C7" "C7_Fe_NO" "#a9dea9" "white" -37.6058272759235 4.33018215778144 30.5696202452517 1.42286303342084 2.58613870784148 -6.17257162067998 -6.75084637117375 4.45282359064055 -2.24569070062787 -2.58286774809771 -2.58245401880259 -3.16932055399288 4.19825628153588 -1.32861922417035 1.76150649877746 -3.48797305750738 2.56213134540203 -1.78542157571737 1.4492804257862 -3.16645377128337 6.80019473632682 -0.469347245095137 2.47645629914152 -1.85868526710851 -2.07345554663802 0.77291577112778 -0.855097566193856 -0.243220734000339 -0.344459298497673 0.55140807501892 -4.07959674323913 -2.78388423424758e-14
"C7_Fe_NO_2" "NO" "NO" "EXP" "YES" "YES" "C7" "C7_Fe_NO_2" "11_10_AN_F2C7" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00161701_C7_C8_Diciembre_2021/RawFASTQ/11_10_AN_F2C7" "C7_Fe_NO" "#a9dea9" "white" -33.9637485710778 11.5725527777615 40.4103658905982 -4.21816183069171 -0.0915192292553836 -9.96836040195298 -9.10641998631687 4.94482438454695 -7.39102484418186 -4.30821367176647 -1.84184940420171 -1.4748232527245 -2.6360246500103 0.0456273342602283 -3.057302677562 5.70552331567006 -0.823663805834009 0.0242158787877683 -0.944232386059416 -1.1640158410495 -2.88167952279071 0.22162232786856 1.2944591744604 -2.55981701907003 -3.87622054488899 -0.117275470587064 -2.59044154551002 -1.14245883965831 1.18219178753228 2.28430337979189 2.81635527027747 -3.94992740772315e-14
"C7_Fe_YES_1" "YES" "NO" "EXP" "YES" "YES" "C7" "C7_Fe_YES_1" "11_10_ANmF1C7" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00161701_C7_C8_Diciembre_2021/RawFASTQ/11_10_ANmF1C7" "C7_Fe_YES" "#a9dea9" "#a9dea9" -39.2491990468976 5.05616965578175 37.9482956207089 0.308383110029943 2.72573803322051 -6.09289229228853 -12.3343708654108 5.07657932272896 -2.4241197892921 -2.25273145117666 -2.88994721359555 0.218666697876636 2.163375044113 0.726487453033631 5.27175305216319 -2.92052954177618 3.66621129014452 1.1939935251238 2.50365945247161 0.205624174920238 3.62145909881184 -0.301345063722865 -0.64928151407651 2.69809025029306 3.32610554946295 -0.268718504960721 2.54154117157045 0.552455295939122 1.06753514670891 -1.12396386625678 3.7091173149837 -3.30476748397479e-14
"C7_Fe_YES_2" "YES" "NO" "EXP" "YES" "YES" "C7" "C7_Fe_YES_2" "11_10_ANmF2C7" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00161701_C7_C8_Diciembre_2021/RawFASTQ/11_10_ANmF2C7" "C7_Fe_YES" "#a9dea9" "#a9dea9" -33.7360094872649 9.61532708365313 44.3669087206972 -4.43673823332582 1.49570729361524 -8.8285321776024 -11.4462486744187 4.47060113783505 -5.11044524086316 -2.1020989966739 -0.821428402266899 2.19042315737485 -3.82833844675849 0.738680217834061 -1.27280494448751 3.45689584747221 -4.93645315343741 -1.11237295933596 -2.28227720297779 2.45439369550387 -4.50148076487867 0.0827558579690168 -2.6130019147677 0.876463739244009 2.66881237057558 -0.282046986342173 1.16335157770751 0.89491553313876 -1.61165155554959 -1.92450343118328 -3.08768544522735 -1.07199405602332e-14
"C8_Fe_NO_3" "NO" "NO" "STAT" "YES" "YES" "C8" "C8_Fe_NO_3" "18_03_AN_F1C8r" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00170106_C14_C15_C8r_Mayo_2022/RawFASTQ/18_03_AN_F1C8r" "C8_Fe_NO" "#2c682c" "white" 59.5822501857728 -29.0293881023126 22.1557171694269 40.7521108296695 -5.06069848410039 1.64265708761516 6.06418322535866 -11.3789412883236 -4.04447545471296 -0.246658429939308 -4.93030211965296 -1.27691249088866 3.41245600163169 -0.492017554495035 0.0587405260926588 0.663104290866603 2.14885422744338 -0.562405914017864 -0.527473869510881 -7.70165601460381 -3.06109487277529 3.43965801714739 -2.88887612773234 1.33946959531225 -0.528595757882281 0.305684108350181 0.882970090845503 0.380819708274079 -0.244562407122288 0.0194379978809454 -0.106614745537169 -1.13351168729015e-14
"C8_Fe_NO_4" "NO" "NO" "STAT" "YES" "YES" "C8" "C8_Fe_NO_4" "18_03_AN_F2C8r" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00170106_C14_C15_C8r_Mayo_2022/RawFASTQ/18_03_AN_F2C8r" "C8_Fe_NO" "#2c682c" "white" 61.1145448145105 -35.1737686732873 24.5617216933895 41.5338925744468 -6.10394861077912 5.22480620917231 4.05209652214993 -10.7205429204543 -2.26455842834289 -0.989933200048018 -4.61835221370215 3.20318104598105 -1.95193857375742 1.01075382675029 -0.481226801612309 0.0550917745582706 -1.92002162744187 0.19717844140294 0.152683586869036 7.78144565083455 2.48184376874372 -3.28143689739611 2.93526911567504 -1.37052125130821 0.497395342570798 -0.317070897114716 -0.684683787323761 -0.447277029783719 0.205300831975616 -0.0114021857783079 0.159469711317465 3.73420912247457e-14
"C8_Fe_YES_3" "YES" "NO" "STAT" "YES" "YES" "C8" "C8_Fe_YES_3" "18_03_ANmF1C8r" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00170106_C14_C15_C8r_Mayo_2022/RawFASTQ/18_03_ANmF1C8r" "C8_Fe_YES" "#2c682c" "#2c682c" 40.8473826339513 -17.883896644612 22.917706848755 -9.61185469671976 -4.01072769353739 29.3770775418725 0.868136231703477 12.6098356534563 9.76108533710453 1.86412879036251 4.22579683922807 -1.38649847949339 -4.90782867258317 -1.53759923693434 -0.74785698227494 -3.94332290471315 -5.61044569298149 7.78264453656109 3.85869456865091 -3.7126262653195 -0.704036918919657 -2.17464352243123 -0.27355126475146 -1.04806259658741 0.232499425956405 -0.245377218129074 -0.208818216232766 0.068688697132953 -0.135997526746006 0.0904114135599358 -0.0244099124252511 -3.46207437718071e-15
"C8_Fe_YES_4" "YES" "NO" "STAT" "YES" "YES" "C8" "C8_Fe_YES_4" "18_03_ANmF2C8r" "Fe.YES_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.YES" "Mtb_Latency/HN00170106_C14_C15_C8r_Mayo_2022/RawFASTQ/18_03_ANmF2C8r" "C8_Fe_YES" "#2c682c" "#2c682c" 48.8388770253086 -19.052756843147 18.6310817077281 -18.9088988495113 -4.9747083995636 33.3115995024601 6.46078518124097 16.1426007415175 9.3230357655178 -0.0867395872099286 1.90014592666788 -2.61494850187609 2.80947791906175 1.49325723944147 0.674831818767354 4.66281969354349 5.33200297574644 -6.58485448137112 -3.16900158591323 2.64770727877274 0.586080783451523 2.32735672895048 -0.0499217967199115 0.73611383302029 -0.328429559248974 -0.0494462079204853 0.157135770995174 0.086945511160058 0.0844749197900254 -0.0655060204237902 0.0452758370934207 -1.04421679636424e-14
