Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
19_01_AN_F2C11_1	85.73746365205311	63.0	151.0	151	45.45454545454545	29948479.0
19_01_AN_F2C11_2	86.0693720353147	63.0	151.0	151	27.27272727272727	29948479.0
19_01_AN_F2C12_1	92.24433368560753	61.0	151.0	151	36.36363636363637	25640410.0
19_01_AN_F2C12_2	91.56331864614735	61.0	151.0	151	45.45454545454545	25640410.0
19_01_ANmF1C11_1	98.89551888937746	59.0	151.0	151	45.45454545454545	24542403.0
19_01_ANmF1C11_2	98.5117036051591	59.0	151.0	151	45.45454545454545	24542403.0
19_01_ANmF1C12_1	92.90523496817484	61.0	151.0	151	36.36363636363637	26436403.0
19_01_ANmF1C12_2	92.14051735148308	62.0	151.0	151	45.45454545454545	26436403.0
19_01_ANmF2C11_1	98.90878572016813	60.0	151.0	151	45.45454545454545	22234995.0
19_01_ANmF2C11_2	97.6439178428749	59.0	151.0	151	45.45454545454545	22234995.0
19_01_ANmF2C12_1	92.08432978121216	61.0	151.0	151	36.36363636363637	23639771.0
19_01_ANmF2C12_2	91.3183966802103	61.0	151.0	151	45.45454545454545	23639771.0
19_10_AN_F1C8_1	90.85158163442352	63.0	151.0	151	45.45454545454545	29750787.0
19_10_AN_F1C8_2	91.341104541791	63.0	151.0	151	36.36363636363637	29750787.0
19_10_AN_F2C8_1	91.95692092269184	62.0	151.0	151	45.45454545454545	29000544.0
19_10_AN_F2C8_2	91.8958383831307	63.0	151.0	151	45.45454545454545	29000544.0
19_10_ANmF1C8_1	89.93952120098491	63.0	151.0	151	45.45454545454545	25574101.0
19_10_ANmF1C8_2	90.3454224233607	63.0	151.0	151	45.45454545454545	25574101.0
19_10_ANmF2C8_1	90.26080163790823	63.0	151.0	151	45.45454545454545	28500181.0
19_10_ANmF2C8_2	90.9391199170651	62.0	151.0	151	45.45454545454545	28500181.0
19_4_MMmAN_F1C5_1	84.9939443535415	63.0	151.0	151	36.36363636363637	25943449.0
19_4_MMmAN_F1C5_2	86.92359555238964	63.0	151.0	151	27.27272727272727	25943449.0
19_4_MMmAN_F2C5_1	86.616794403114	63.0	151.0	151	36.36363636363637	29933374.0
19_4_MMmAN_F2C5_2	87.47302675467523	63.0	151.0	151	36.36363636363637	29933374.0
19_4_MMmANmF1C5_1	85.48146624149298	63.0	151.0	151	36.36363636363637	28568819.0
19_4_MMmANmF1C5_2	87.55737999622146	63.0	151.0	151	18.181818181818183	28568819.0
19_4_MMmANmF2C5_1	85.51499714331928	63.0	151.0	151	45.45454545454545	22698369.0
19_4_MMmANmF2C5_2	86.25591770253736	63.0	151.0	151	27.27272727272727	22698369.0
1_1	86.90388844934807	63.0	151.0	151	36.36363636363637	28723207.0
1_2	86.14807828247453	63.0	151.0	151	18.181818181818183	28723207.0
23_4MMmADN_F1C2_1	88.30932126138332	63.0	151.0	151	45.45454545454545	20748213.0
23_4MMmADN_F1C2_2	89.21684697256843	62.0	151.0	151	36.36363636363637	20748213.0
23_4MMmADN_F2C2_1	92.986317546536	62.0	151.0	151	45.45454545454545	25730058.0
23_4MMmADN_F2C2_2	93.31390034121515	62.0	151.0	151	45.45454545454545	25730058.0
23_4MMmADNmF1C2_1	91.70264165855815	62.0	151.0	151	45.45454545454545	21913278.0
23_4MMmADNmF1C2_2	92.41346763618273	62.0	151.0	151	45.45454545454545	21913278.0
23_4MMmADNmF2C2_1	85.93076796727578	63.0	151.0	151	36.36363636363637	23919591.0
23_4MMmADNmF2C2_2	87.48733004214324	63.0	151.0	151	27.27272727272727	23919591.0
29_11_AN_F1C15_1	94.06283491242489	61.0	151.0	151	45.45454545454545	23189344.0
29_11_AN_F1C15_2	92.77708571820372	61.0	151.0	151	36.36363636363637	23189344.0
29_11_AN_F2C15_1	93.66476364871818	61.0	151.0	151	36.36363636363637	29893975.0
29_11_AN_F2C15_2	93.60076299733774	61.0	151.0	151	45.45454545454545	29893975.0
29_11_ANmF1C15_1	93.97328557457628	61.0	151.0	151	45.45454545454545	24720775.0
29_11_ANmF1C15_2	92.62211097940066	61.0	151.0	151	36.36363636363637	24720775.0
29_11_ANmF2C15_1	93.51674117042488	61.0	151.0	151	45.45454545454545	21208240.0
29_11_ANmF2C15_2	92.23581944473585	61.0	151.0	151	36.36363636363637	21208240.0
2_1	87.49705785396303	63.0	151.0	151	36.36363636363637	29780434.0
2_2	86.28639689166103	63.0	151.0	151	27.27272727272727	29780434.0
3_1	87.09126010710705	63.0	151.0	151	36.36363636363637	29835619.0
3_2	85.38805919475942	63.0	151.0	151	27.27272727272727	29835619.0
4_1	85.9700831186464	64.0	151.0	151	36.36363636363637	29803769.0
4_2	85.8110435575716	64.0	151.0	151	18.181818181818183	29803769.0
5_1	89.24947882193091	63.0	151.0	151	45.45454545454545	29923481.0
5_2	89.24883726209501	63.0	151.0	151	36.36363636363637	29923481.0
6_1	90.88046464007449	62.0	151.0	151	45.45454545454545	22760097.0
6_2	88.88074104209964	62.0	151.0	151	36.36363636363637	22760097.0
7_1	91.7120953328641	62.0	151.0	151	45.45454545454545	22767204.0
7_2	90.7196597364532	62.0	151.0	151	45.45454545454545	22767204.0
8_1	88.13057061525294	63.0	151.0	151	36.36363636363637	27644491.0
8_2	87.17053381738643	63.0	151.0	151	27.27272727272727	27644491.0
8_4_MMmAN_F1C6_1	93.33908411208265	61.0	151.0	151	45.45454545454545	23532430.0
8_4_MMmAN_F1C6_2	93.67188177009187	61.0	151.0	151	45.45454545454545	23532430.0
8_4_MMmAN_F2C6_1	93.3785812346527	60.0	151.0	151	45.45454545454545	24888581.0
8_4_MMmAN_F2C6_2	93.47599380090541	61.0	151.0	151	45.45454545454545	24888581.0
8_4_MMmANmF1C6_1	93.71663850414575	61.0	151.0	151	45.45454545454545	19931435.0
8_4_MMmANmF1C6_2	93.97832924862843	61.0	151.0	151	45.45454545454545	19931435.0
8_4_MMmANmF2C6_1	94.28005572877409	61.0	151.0	151	45.45454545454545	23385582.0
8_4_MMmANmF2C6_2	94.61738562993304	61.0	151.0	151	45.45454545454545	23385582.0
ANLCFA_F1C12R_1	91.8772047704962	62.0	151.0	151	45.45454545454545	26205177.0
ANLCFA_F1C12R_2	91.36007665092704	62.0	151.0	151	36.36363636363637	26205177.0
ANLCFA_F2C12R_1	91.96266644437428	62.0	151.0	151	45.45454545454545	24303939.0
ANLCFA_F2C12R_2	91.56833362878308	62.0	151.0	151	36.36363636363637	24303939.0
ANLCFAmF1C12R_1	91.82546897042629	62.0	151.0	151	45.45454545454545	29672350.0
ANLCFAmF1C12R_2	91.32371620124124	62.0	151.0	151	27.27272727272727	29672350.0
ANLCFAmF2C12R_1	91.61263869077784	62.0	151.0	151	45.45454545454545	24163661.0
ANLCFAmF2C12R_2	91.17402416614053	62.0	151.0	151	36.36363636363637	24163661.0
