Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
03_12_AN_F1C14_1										21.018708907590096	8.200486638560683	12.4797908476141	2.8392951901711294	5.31830381220649	2.3815714843479143	25.36745345146663
03_12_AN_F1C14_2										25.434087866150595	7.046091295664336	7.287253767951259	1.443271333442185	4.262296737062695	2.8452315744547247	25.42270006914175
03_12_AN_F2C14_1										21.616586300592108	8.63984778067853	14.25736083961715	3.342289229010851	5.61848910519273	2.1370453425784417	21.590631123035728
03_12_AN_F2C14_2										27.27016378954717	7.35572563539395	7.528880640648454	1.5597041222628287	4.421684976203622	3.107236462047659	20.44412699869009
03_12_ANmF1C14_1										20.40851433591589	8.455781608525857	14.451860000285489	3.5974013593363643	6.240750459112971	2.5787546725176345	22.584563033735204
03_12_ANmF1C14_2										25.91804716120806	7.322062431979378	7.8530665474385986	1.8006187703576957	5.25096860069074	3.7653986765560905	20.88372382533887
03_12_ANmF2C14_1										19.73841217446728	8.023673511356119	13.739613695061484	3.379354894352471	6.083231075031353	2.5143028379194265	25.117527285622554
03_12_ANmF2C14_2										24.7761099306609	6.781299683133072	7.371094139360271	1.7692645108768632	5.17304167281504	3.526736085337863	23.716615585959044
10_3MMmADN_F1C1_1										26.434800575309524	10.98939221088754	16.29209863691026	2.7538663033201063	3.336712877592693	1.4011751618506654	10.197970944503322
10_3MMmADN_F1C1_2										32.89885866007944	11.505512126674834	11.769266341386752	1.4086649100904913	2.7211269491700567	1.752412224859692	10.465988432503451
10_3MMmADNmF1C1_1										25.99656489956987	10.541020988211677	15.018300534188153	2.689614316557784	3.661933764741767	1.6247346122107487	11.769065425718903
10_3MMmADNmF1C1_2										32.353690713488334	10.419214242741901	10.2235550094534	1.435663673453368	2.934251554516789	2.4688772235066945	11.795113276506507
11_10_AN_F1C7_1										26.05736215868859	10.43175547171242	14.132868682879462	2.5407891116451586	3.3787665658517803	1.5772594026238822	16.099776933006392
11_10_AN_F1C7_2										31.68625332168068	10.541755209792607	10.17855466622132	1.2074549210916314	3.285484742927175	2.1668926505860377	15.800577204872637
11_10_AN_F2C7_1										26.12966386513968	9.771095520315683	12.860584880566266	2.2448111620964295	3.0634262904526612	1.5552553563548561	17.176831033436116
11_10_AN_F2C7_2										31.058925993447673	9.698501959555552	9.361376861728983	1.0685821798156385	3.0055199516790285	2.0073404363551144	17.10802680329994
11_10_ANmF1C7_1										26.188634823350498	10.482937923283275	14.475962847585308	2.538373367782195	3.085080497182506	1.5173495589990758	14.600198910290505
11_10_ANmF1C7_2										31.965297114396524	10.50415059131162	10.919163624841513	1.2561714080171027	2.8440661163392567	1.8698869830443838	14.444667164763528
11_10_ANmF2C7_1										25.773630892544357	9.823693940216947	13.039276257129085	2.320037657327684	3.0708396696032114	1.7921107231170408	17.623373395621165
11_10_ANmF2C7_2										30.507869868648253	9.58299279598966	9.342196112189015	1.1313652919862194	3.102220952013697	1.7095177864882534	17.840158008478767
12_1_C11R6_F1_1										24.526707712482786	10.789506262776584	17.42432696039573	3.3191956915404206	3.8734026555631713	1.4213360659179586	14.630300592821154
12_1_C11R6_F1_2										30.106189168842445	11.443971349429512	13.401908161047984	2.0417548202262834	3.3435060435402777	1.5271226081893676	14.579806150202005
12_1_C11R6_F2_1										23.55820647790606	10.306350111349165	16.102940064800155	3.141011165794663	4.323817239635179	1.576464117256963	16.8735790379892
12_1_C11R6_F2_2										28.996205551302957	10.590572643031491	12.320040282156086	2.0640215316386334	3.555365601691116	2.2144400857779933	16.682218766683825
12_1_C11R6mF1_1										23.74197260708945	10.43192105621571	16.720449358274816	3.28173588640242	4.199935917119236	1.543798039704722	15.662308729210785
12_1_C11R6mF1_2										29.332111996226516	10.974036960823492	12.689351170416732	2.098903245739012	3.3469497344282737	2.0615762735360557	15.490534701921627
12_1_C11R6mF2_1										24.562010341216563	10.908733758271392	17.651061051269537	3.4233855076891855	3.9891441549578093	1.4045382140322047	13.502523059791072
12_1_C11R6mF2_2										30.452330534106654	11.509580793701268	13.533904474148247	1.995528897158893	3.4411062443192537	1.6595783068761711	13.197298443482117
12_1_C15R_F1_1										8.723317389914952	3.23753718927096	6.3075558748313	2.219577851737137	5.951948530958195	3.267681644293548	58.08146066762696
12_1_C15R_F1_2										9.196695793527805	3.03375983513021	4.939286895943686	1.619625754479683	4.510922182199111	3.7301277815253617	60.28441336527709
12_1_C15R_F2_1										8.287730852051887	3.0318542234496557	5.834730216366938	2.2316629412538447	5.638536176045946	3.267338651510347	59.758889842780974
12_1_C15R_F2_2										8.559457164543076	2.7615820836128435	4.650451109213486	1.540208667524452	4.293181257449943	3.6943448354179966	62.19606953818809
16_3MMmADN_F2C1_1										25.02037888994654	10.21604987635535	14.53834531262601	2.6135389101148885	3.7564032102344	2.0039125205817148	14.492351238307293
16_3MMmADN_F2C1_2										30.96663726087167	9.952578425877574	9.570898595580077	1.29058999559547	3.5113302388227274	2.4309143813759615	14.87246243256789
16_3MMmADNmF2C1_1										25.422839096575473	10.665036472178683	15.630548329229088	2.564156578160759	3.632187103384108	1.8419467159069143	13.26695408337158
16_3MMmADNmF2C1_2										31.83563826082885	10.636330351365867	9.897522024174837	1.210474853936717	3.185079820988485	2.2081844157496295	14.138309958247227
18_03_AN_F1C8r_1										9.8968548179807	3.9921258456681077	7.87444255431221	2.64002073590457	5.593916606662683	3.8845329922559078	52.93870282098661
18_03_AN_F1C8r_2										10.318568512722853	3.857762808573082	7.154865537762681	1.904607327944125	4.525051485398103	3.8733733207298116	55.297362526153314
18_03_AN_F2C8r_1										11.296823984766286	4.6606289909744865	9.143285065385458	3.123683612189377	5.922090068481927	3.53814349971412	47.78092787315271
18_03_AN_F2C8r_2										11.979918965552981	4.517976816338462	8.496732556694083	2.463563813512359	4.630569431953813	4.033739095805516	49.55118906519413
18_03_ANmF1C8r_1										11.830272239788947	4.5604307416672905	8.147025367671047	2.565409618773137	5.5850541755512415	3.5486491567360128	48.36595014266399
18_03_ANmF1C8r_2										12.601980700325575	4.299347499810685	7.215143863471822	1.9833300560482394	4.5012054121440555	3.797623700845359	50.199022021129394
18_03_ANmF2C8r_1										8.018223609431375	3.0742178998773064	5.726019879819322	2.0782056655110215	5.482826857102969	4.094607145109822	60.14273558081038
18_03_ANmF2C8r_2										8.204904135282703	2.7088797201222827	4.956146574508865	1.5939269654597021	4.414630776883036	3.7432446922955958	62.690826957656554
19_01_ADN_F1C2r_1										14.010790393014474	5.483752171496007	10.280554062164077	3.392210005357843	6.05473704625434	3.228170175002715	36.86563303124731
19_01_ADN_F1C2r_2										15.485716450241368	5.423375546448722	9.035527079642995	2.364025451387125	5.025172133941901	3.4083150692378696	38.09316733326825
19_01_ADN_F2C2r_1										14.157949161758326	5.283264952741222	9.624633523501917	3.010943736475493	5.6706396199420475	3.3204341055035274	38.305130803241596
19_01_ADN_F2C2r_2										15.363556248627994	5.254728429745422	8.142513619833426	1.8998140781495543	4.977432513079147	3.6621032905309594	39.63957352957314
19_01_ADNmF1C2r_1										18.70665635518603	7.055866727402117	12.505288317752763	3.5118149472722244	5.671311244871748	2.897342826196003	25.288527476770224
19_01_ADNmF1C2r_2										20.816079530676966	7.1093590158947935	10.763001936662635	2.3312959093712964	4.943946820182275	3.012479940547304	25.82034194394842
19_01_ADNmF2C2r_1										19.64870698388019	7.483109106062624	12.96311424244391	3.3228187990772367	5.548837867676639	2.500187046575096	23.468861345944767
19_01_ADNmF2C2r_2										22.084354173321714	7.50953089914472	10.899274238676584	2.258445570939984	4.5195883250004165	3.0778383992351404	23.690566996890286
19_01_AN_F1C11_1										25.457268031290763	10.409180396159597	15.664251512639895	2.963319015235471	3.9685680863709125	1.3966628367278862	14.63620340787813
19_01_AN_F1C11_2										31.07536287579093	10.29248170889079	10.658455146949676	1.601320584565697	3.211600733691495	1.8007701041000312	14.454030100597675
19_01_AN_F1C12_1										7.84349754957548	2.840278676739215	5.637346656984005	2.047151667172365	5.678445232608601	3.791147814253316	59.90370095885314
19_01_AN_F1C12_2										8.05943005552862	2.666917478692948	4.321219220297583	1.1520147620793313	4.569265185165704	3.1660477338932353	62.44406850528357
19_01_AN_F2C11_1										24.53697739559142	10.33811705735258	15.869329630850451	3.15662051130281	4.197747673233638	1.3434907347620189	15.346848286474088
19_01_AN_F2C11_2										30.1397082809102	10.400423697051917	11.137737466027684	1.712602846029224	3.2482951028333984	1.712538731959731	15.264752350191438
19_01_AN_F2C12_1										8.734880366059878	3.0689507412611126	5.593166481373626	1.9262025949761599	5.3703853694008385	4.055234570469367	57.52318457598843
19_01_AN_F2C12_2										8.973113298977479	2.753047857703387	4.001196276169824	1.054338182798643	4.424645200488412	3.706072173523916	59.824112284321004
19_01_ANmF1C11_1										11.446331263074807	3.0566274785075653	3.112857877547925	1.086066169687054	3.1855737071709975	2.1449693394583003	74.96617837171783
19_01_ANmF1C11_2										11.983657825026375	3.003644210207123	3.084915214160532	0.9505566927466973	2.75640097342436	1.6282583922366762	75.21198226722558
19_01_ANmF1C12_1										8.435209164207876	3.0978622226401478	5.9139830425150555	2.057698961641606	5.713041490148015	3.559745206676558	58.19380653327529
19_01_ANmF1C12_2										8.808159982430732	2.9718256876245848	4.57412010259173	1.2001838302145975	4.421844826935529	3.066951823593887	60.65427741552632
19_01_ANmF2C11_1										11.139506239674365	2.695965022588532	2.64369557389053	0.9388456527069735	2.7712076388134834	1.5164642950966751	77.28563483880735
19_01_ANmF2C11_2										11.20156055786954	2.4555296193246714	2.685632412304053	0.9332880413065825	2.1682550069288875	1.3634014366803735	76.88687352347353
