Sample	Top over-represented sequence	Sum of remaining over-represented sequences
03_12_AN_F1C14_1	1.394876587443879	19.40602625782729
03_12_AN_F1C14_2	0.889631652790901	17.66826347219176
03_12_AN_F2C14_1	1.2997025444845105	16.58712453478198
03_12_AN_F2C14_2	0.7375760707251557	14.534993899048642
03_12_ANmF1C14_1	1.4393254439502259	16.743014861250266
03_12_ANmF1C14_2	0.7096473770957088	14.111976237382063
03_12_ANmF2C14_1	1.7417271156858836	19.237296769310106
03_12_ANmF2C14_2	0.7776140384115277	17.13186122805717
10_3MMmADN_F1C1_1	1.0427415762826968	6.084779651137856
10_3MMmADN_F1C1_2	0.4927654683550903	6.497730594113168
10_3MMmADNmF1C1_1	1.1921537731313607	7.461845816730905
10_3MMmADNmF1C1_2	0.5682597529938697	7.7122276047141405
11_10_AN_F1C7_1	2.380887287738707	10.503677820950202
11_10_AN_F1C7_2	0.6495667785937279	10.85021329910588
11_10_AN_F2C7_1	2.4103350624771704	12.068107622665327
11_10_AN_F2C7_2	0.748406564670144	12.068791852109353
11_10_ANmF1C7_1	2.1423098223820163	9.740409675328138
11_10_ANmF1C7_2	0.6577126363426454	10.13593907980753
11_10_ANmF2C7_1	2.5039691607129955	11.92957234589828
11_10_ANmF2C7_2	0.7469892049787985	12.651220509985595
12_1_C11R6_F1_1	1.420911105044392	8.901212486447044
12_1_C11R6_F1_2	0.6399958435535356	9.3586739724379
12_1_C11R6_F2_1	1.6562680397775988	10.57701102393546
12_1_C11R6_F2_2	0.6306245883108408	10.781964015136479
12_1_C11R6mF1_1	1.6036045206517926	9.549327768684925
12_1_C11R6mF1_2	0.585968996193502	10.076813042278651
12_1_C11R6mF2_1	1.4284473336382653	7.993463838938803
12_1_C11R6mF2_2	0.5637012338948044	8.302153357327718
12_1_C15R_F1_1	3.7919130126513476	45.711292708472754
12_1_C15R_F1_2	2.389592488972871	45.450253975450785
12_1_C15R_F2_1	3.6758820938419525	47.3058971180476
12_1_C15R_F2_2	2.5557005161595687	46.69735645045268
16_3MMmADN_F2C1_1	1.377621092881478	9.410233133003025
16_3MMmADN_F2C1_2	0.6739274653534734	9.875699134110679
16_3MMmADNmF2C1_1	1.2671888610652446	8.308402117951312
16_3MMmADNmF2C1_2	0.6576968471053553	9.334919171183007
18_03_AN_F1C8r_1	4.50164498961075	40.141576825977474
18_03_AN_F1C8r_2	1.195887522613189	41.854511002403086
18_03_AN_F2C8r_1	4.020481024902987	35.57173377912358
18_03_AN_F2C8r_2	1.086755709800547	37.17652462735423
18_03_ANmF1C8r_1	3.928972449541733	36.16593328361722
18_03_ANmF1C8r_2	1.2441245162256194	36.46901420119065
18_03_ANmF2C8r_1	4.932148778519944	46.56629738745031
18_03_ANmF2C8r_2	1.5148927346152747	48.5640916517606
19_01_ADN_F1C2r_1	3.105340942372136	27.687688686400698
19_01_ADN_F1C2r_2	1.2000285946224014	28.30422966470359
19_01_ADN_F2C2r_1	3.040534985178436	28.46611689742409
19_01_ADN_F2C2r_2	1.227621246744082	29.08388919017295
19_01_ADNmF1C2r_1	2.379782679261645	18.310727599771905
19_01_ADNmF1C2r_2	1.0540996413789947	17.59892742591913
19_01_ADNmF2C2r_1	1.9782926650180988	16.621076173149568
19_01_ADNmF2C2r_2	0.8628693405606116	15.40731928423126
19_01_AN_F1C11_1	1.660878508519517	9.487521321723975
19_01_AN_F1C11_2	0.6747361690415075	9.780487745846768
19_01_AN_F1C12_1	4.20693896638028	48.631275687976306
19_01_AN_F1C12_2	2.7798405852259127	49.11931394946989
19_01_AN_F2C11_1	1.6247068841125454	10.027978382474782
19_01_AN_F2C11_2	0.6603574091358697	9.877757064056578
19_01_AN_F2C12_1	3.4363881076784653	46.73860909400434
19_01_AN_F2C12_2	2.28373883256937	47.155759209778616
19_01_ANmF1C11_1	10.345421350957361	59.98229676205704
19_01_ANmF1C11_2	5.628980177694906	64.41898537808214
19_01_ANmF1C12_1	3.773179732507482	47.45749260971703
19_01_ANmF1C12_2	2.472802370277076	47.32368847607597
19_01_ANmF2C11_1	14.656711188826444	59.14214057615032
19_01_ANmF2C11_2	5.582857113302701	66.37491485831228
19_01_ANmF2C12_1	3.8194363219508345	47.04998622871604
19_01_ANmF2C12_2	2.437688588438526	47.95309988408946
19_10_AN_F1C8_1	3.7016398927530894	28.6162110602318
19_10_AN_F1C8_2	1.212025080210483	30.30577644887175
19_10_AN_F2C8_1	4.318674160043343	30.80163254868598
19_10_AN_F2C8_2	1.5409193703400874	32.6665148074464
19_10_ANmF1C8_1	4.9998707676958025	28.381939994684465
19_10_ANmF1C8_2	1.7836247694493736	30.673645185025286
19_10_ANmF2C8_1	4.509915217731424	30.55259894665231
19_10_ANmF2C8_2	1.5363446288288485	32.64310847710055
19_4_MMmAN_F1C5_1	1.3857486720443377	10.294756876774555
19_4_MMmAN_F1C5_2	0.5816921258233629	10.779530508838672
19_4_MMmAN_F2C5_1	1.244924812017516	9.730239564707942
19_4_MMmAN_F2C5_2	0.4888556832918334	9.33011761387139
19_4_MMmANmF1C5_1	1.3067253497598204	9.622781396738873
19_4_MMmANmF1C5_2	0.550435774051423	10.017365436072105
19_4_MMmANmF2C5_1	1.5031212154494449	11.428658156011123
19_4_MMmANmF2C5_2	0.5841653204245645	11.204959263813185
1_1	1.0388638009676288	8.918325171698275
1_2	0.6090824050392423	7.164447201177782
23_4MMmADN_F1C2_1	2.3418113164733754	28.596294051926296
23_4MMmADN_F1C2_2	1.1591697077719416	31.71132858526177
23_4MMmADN_F2C2_1	3.215177361823281	39.32642903486655
23_4MMmADN_F2C2_2	1.765689762533765	43.73746456381869
23_4MMmADNmF1C2_1	2.9589822207339314	38.77874866553514
23_4MMmADNmF1C2_2	1.648867869060941	43.820636967230534
23_4MMmADNmF2C2_1	1.560699762801128	16.916526708169872
23_4MMmADNmF2C2_2	0.8228359757489164	18.63235454151369
29_11_AN_F1C15_1	2.967207696776588	53.7792832776986
29_11_AN_F1C15_2	2.1779270685708054	51.71997103497195
29_11_AN_F2C15_1	3.6717699804057506	51.028332632244464
29_11_AN_F2C15_2	2.0803456214839278	50.42345823865844
29_11_ANmF1C15_1	3.455231480404639	52.88992355619917
29_11_ANmF1C15_2	2.1541800368313697	51.413392177227465
29_11_ANmF2C15_1	3.1481395910268843	52.62750232928335
29_11_ANmF2C15_2	2.044964598665424	50.666622972957654
2_1	1.0779493676955816	10.647306214543415
2_2	0.6510214055308933	8.468865833184298
3_1	1.1017770403892073	10.788487411640425
3_2	0.6314834627697853	8.426602444547909
4_1	1.0228773414530223	8.389727487151037
4_2	0.5315166682442076	7.2533644989665556
5_1	1.8431010750386962	28.069003736563946
5_2	1.0063067194622177	26.13606685666016
6_1	2.4823092801405897	37.30624698128484
6_2	1.3452490997731688	36.16401986335998
7_1	2.548029173894168	37.14905440299124
7_2	1.3311603831546466	36.096492129644005
8_1	1.623072025453462	21.04842154626757
8_2	0.8881371698976117	18.545221179872705
8_4_MMmAN_F1C6_1	6.934103277902028	51.91234819353548
8_4_MMmAN_F1C6_2	2.4382309859202813	58.454426508439624
8_4_MMmAN_F2C6_1	4.901179380214566	55.152991647052936
8_4_MMmAN_F2C6_2	1.7001371030353238	60.107058735088195
8_4_MMmANmF1C6_1	5.795026800629257	47.875619592869235
8_4_MMmANmF1C6_2	2.0119625104765415	54.06300148484037
8_4_MMmANmF2C6_1	4.625046321276075	50.28845551075022
8_4_MMmANmF2C6_2	1.6801677204356085	55.24260204428524
